Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E OpRho OpMx OpMy OpMz OpE Pmin Pmax
     65  7.11918E-01  1.10878E-02  9.00059E-01 -3.87373E-17  8.83780E-04 -3.71024E-07  2.18136E+01  3.90145E-17  1.94732E-17  8.12979E+01  1.00000E-01  6.51762E-18  6.17866E-06  3.62570E-07  8.96839E+00  5.33214E+01  5.45548E+01
     66  7.23005E-01  1.10874E-02  9.00060E-01 -9.86326E-17  8.83771E-04 -3.77063E-07  2.18136E+01  2.97625E-17  1.95503E-17  8.13073E+01  1.00000E-01  6.28634E-18  6.17863E-06  3.68636E-07  8.96839E+00  5.33194E+01  5.45542E+01
     67  7.34092E-01  1.10874E-02  9.00061E-01 -6.88058E-17  8.83781E-04 -3.83102E-07  2.18136E+01 -5.71446E-17  1.97736E-17  8.13166E+01  1.00000E-01  6.22135E-18  6.17873E-06  3.74703E-07  8.96840E+00  5.33187E+01  5.45542E+01
     68  7.45180E-01  1.10874E-02  9.00062E-01  4.39647E-18  8.83792E-04 -3.89141E-07  2.18137E+01 -2.38366E-17  2.01815E-17  8.13260E+01  1.00000E-01  6.16392E-18  6.17882E-06  3.80769E-07  8.96840E+00  5.33188E+01  5.45541E+01
     69  7.56267E-01  1.10876E-02  9.00062E-01  1.95806E-17  8.83812E-04 -3.95179E-07  2.18137E+01  9.26112E-17  2.05801E-17  8.13354E+01  1.00000E-01  5.81882E-18  6.17897E-06  3.86836E-07  8.96841E+00  5.33191E+01  5.45541E+01
     70  7.67355E-01  1.10873E-02  9.00063E-01 -4.51257E-18  8.83842E-04 -4.01221E-07  2.18137E+01 -1.15619E-17  2.09686E-17  8.13448E+01  1.00000E-01  5.91042E-18  6.17920E-06  3.92903E-07  8.96841E+00  5.33189E+01  5.45545E+01
     71  7.78442E-01  1.10871E-02  9.00064E-01 -5.10139E-18  8.83875E-04 -4.07277E-07  2.18137E+01  5.68688E-17  2.16659E-17  8.13542E+01  1.00000E-01  6.10960E-18  6.17945E-06  3.98970E-07  8.96842E+00  5.33178E+01  5.45551E+01
     72  7.89529E-01  1.10870E-02  9.00065E-01 -3.37818E-17  8.83912E-04 -4.13358E-07  2.18138E+01  4.42023E-17  2.21178E-17  8.13636E+01  1.00000E-01  5.90775E-18  6.17972E-06  4.05037E-07  8.96842E+00  5.33174E+01  5.45556E+01
     73  8.00616E-01  1.10871E-02  9.00066E-01  5.82817E-18  8.83942E-04 -4.19449E-07  2.18138E+01  7.73782E-18  2.25916E-17  8.13730E+01  1.00000E-01  5.79388E-18  6.17993E-06  4.11104E-07  8.96843E+00  5.33175E+01  5.45560E+01
     74  8.11703E-01  1.10872E-02  9.00067E-01 -2.92512E-17  8.83967E-04 -4.25534E-07  2.18138E+01  1.07936E-16  2.28826E-17  8.13824E+01  1.00000E-01  5.63010E-18  6.18012E-06  4.17171E-07  8.96843E+00  5.33177E+01  5.45563E+01
     75  8.22790E-01  1.10870E-02  9.00068E-01 -7.09023E-17  8.83986E-04 -4.31620E-07  2.18138E+01  2.53423E-17  2.29000E-17  8.13918E+01  1.00000E-01  6.10451E-18  6.18027E-06  4.23238E-07  8.96844E+00  5.33174E+01  5.45565E+01
     76  8.33877E-01  1.10869E-02  9.00069E-01  2.85918E-17  8.84001E-04 -4.37719E-07  2.18138E+01  6.30105E-17  2.27188E-17  8.14012E+01  1.00000E-01  5.84256E-18  6.18038E-06  4.29305E-07  8.96844E+00  5.33167E+01  5.45566E+01
     77  8.44964E-01  1.10869E-02  9.00070E-01  6.42514E-17  8.84014E-04 -4.43817E-07  2.18139E+01  5.06737E-17  2.24836E-17  8.14106E+01  1.00000E-01  5.95547E-18  6.18049E-06  4.35373E-07  8.96845E+00  5.33165E+01  5.45566E+01
     78  8.56051E-01  1.10869E-02  9.00071E-01  5.52017E-17  8.84022E-04 -4.49900E-07  2.18139E+01  4.04691E-17  2.21329E-17  8.14200E+01  1.00000E-01  6.32052E-18  6.18056E-06  4.41440E-07  8.96845E+00  5.33166E+01  5.45565E+01
     79  8.67138E-01  1.10870E-02  9.00072E-01  2.48244E-17  8.84030E-04 -4.55980E-07  2.18139E+01  7.81631E-17  2.18107E-17  8.14294E+01  1.00000E-01  5.71444E-18  6.18063E-06  4.47507E-07  8.96846E+00  5.33168E+01  5.45564E+01
     80  8.78225E-01  1.10869E-02  9.00073E-01  1.91091E-17  8.84034E-04 -4.62063E-07  2.18139E+01  4.36478E-17  2.14854E-17  8.14388E+01  1.00001E-01  5.78580E-18  6.18069E-06  4.53575E-07  8.96846E+00  5.33167E+01  5.45563E+01
     81  8.89312E-01  1.10868E-02  9.00074E-01  2.44858E-17  8.84037E-04 -4.68148E-07  2.18140E+01  8.53021E-17  2.09643E-17  8.14482E+01  1.00001E-01  5.86713E-18  6.18073E-06  4.59642E-07  8.96847E+00  5.33163E+01  5.45561E+01
     82  9.00399E-01  1.10868E-02  9.00075E-01  3.01199E-17  8.84037E-04 -4.74216E-07  2.18140E+01  2.58262E-17  2.06230E-17  8.14576E+01  1.00001E-01  5.30796E-18  6.18075E-06  4.65710E-07  8.96847E+00  5.33162E+01  5.45559E+01
     83  9.11485E-01  1.10869E-02  9.00076E-01  2.89981E-17  8.84034E-04 -4.80284E-07  2.18140E+01  9.07376E-17  2.04661E-17  8.14670E+01  1.00001E-01  5.23286E-18  6.18077E-06  4.71777E-07  8.96848E+00  5.33163E+01  5.45557E+01
     84  9.22572E-01  1.10870E-02  9.00077E-01  4.30994E-17  8.84032E-04 -4.86356E-07  2.18140E+01  5.16534E-17  2.02875E-17  8.14764E+01  1.00001E-01  5.45488E-18  6.18078E-06  4.77845E-07  8.96848E+00  5.33164E+01  5.45555E+01
     85  9.33659E-01  1.10869E-02  9.00078E-01  2.64857E-17  8.84026E-04 -4.92436E-07  2.18140E+01 -5.56092E-18  2.01919E-17  8.14858E+01  1.00001E-01  5.07090E-18  6.18077E-06  4.83912E-07  8.96849E+00  5.33163E+01  5.45555E+01
     86  9.44746E-01  1.10868E-02  9.00079E-01 -2.95215E-17  8.84020E-04 -4.98501E-07  2.18141E+01  6.08990E-17  2.01151E-17  8.14952E+01  1.00001E-01  4.93072E-18  6.18076E-06  4.89980E-07  8.96849E+00  5.33161E+01  5.45555E+01
     87  9.55833E-01  1.10869E-02  9.00080E-01 -6.87322E-18  8.84012E-04 -5.04559E-07  2.18141E+01 -2.90270E-17  2.00090E-17  8.15046E+01  1.00001E-01  4.80985E-18  6.18074E-06  4.96047E-07  8.96850E+00  5.33161E+01  5.45554E+01
     88  9.66920E-01  1.10869E-02  9.00081E-01  2.52975E-17  8.84005E-04 -5.10621E-07  2.18141E+01  2.32157E-17  2.02097E-17  8.15140E+01  1.00001E-01  5.07295E-18  6.18074E-06  5.02115E-07  8.96850E+00  5.33161E+01  5.45552E+01
