test point(I,J,K,BLK,PROC):      1     1     1     1     0
it year mo dy hr mn sc msc t X Y Z dtpnt rho Ux Uy Uz Bx By Bz p rhopnt Uxpnt Uypnt Uzpnt ppnt Pmin Pmax Neu1Rhoflx_R=3.0 Neu1Rhoflx_R=4.0
     29 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  2.96945E-14  4.23017E-14  7.56789E-14  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.56070E-10 -2.56070E-10 -2.56070E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.36925E+02  2.93445E+02
     30 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  1.76868E-14  3.47565E-14  1.00556E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.51098E-10 -2.51098E-10 -2.51098E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.48895E+02  3.10440E+02
     31 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00  4.32234E-15  2.61822E-14  1.27813E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.46385E-10 -2.46385E-10 -2.46385E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.60098E+02  3.26886E+02
     32 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.02685E-14  1.66924E-14  1.56982E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.41892E-10 -2.41892E-10 -2.41892E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.70579E+02  3.42763E+02
     33 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -2.58922E-14  6.44062E-15  1.87488E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.37571E-10 -2.37571E-10 -2.37571E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.80384E+02  3.58058E+02
     34 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -4.23303E-14 -4.41586E-15  2.18667E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.33377E-10 -2.33377E-10 -2.33377E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.89555E+02  3.72766E+02
     35 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -5.93239E-14 -1.57246E-14  2.49813E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.29268E-10 -2.29268E-10 -2.29268E-10  1.38070E-06  1.38070E-06  1.38070E-06  4.98134E+02  3.86886E+02
     36 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -7.65633E-14 -2.73386E-14  2.80194E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.25206E-10 -2.25205E-10 -2.25206E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.06159E+02  4.00423E+02
     37 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -9.37401E-14 -3.91109E-14  3.09116E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.21148E-10 -2.21148E-10 -2.21148E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.13668E+02  4.13384E+02
     38 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.10571E-13 -5.08650E-14  3.35941E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.17058E-10 -2.17058E-10 -2.17058E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.20696E+02  4.25780E+02
     39 2014 08 23 16 00 00 000  0.00000E+00 -1.50000E+01 -1.50000E+01 -1.50000E+01  4.01898E-01  1.00000E+00 -1.26754E-13 -6.22771E-14  3.60036E-13  0.00000E+00  0.00000E+00  0.00000E+00  1.38070E-06  1.00000E+00 -2.12907E-10 -2.12907E-10 -2.12908E-10  1.38070E-06  1.38070E-06  1.38070E-06  5.27274E+02  4.37627E+02
