Volume averages, fluxes, etc
it rho mx my mz bx by bz p pmin pmax jin jout jinmax joutmax
     38  8.10030E-03 -8.32075E-18 -2.93537E-23 -6.19149E-22  5.88167E-02 -1.72637E-02  5.27603E-03  2.38299E-06  1.11829E-06  6.01768E-03 -1.63597E-08  1.79385E-08 -2.14584E-07  3.63262E-07
     39  8.10032E-03 -8.32035E-18 -3.09567E-23 -6.44161E-22  5.87993E-02 -1.72622E-02  5.25630E-03  2.41010E-06  1.11829E-06  6.30562E-03 -1.63241E-08  1.80468E-08 -2.19178E-07  3.61688E-07
     40  8.10034E-03 -8.31994E-18 -3.26141E-23 -6.70112E-22  5.87819E-02 -1.72607E-02  5.23803E-03  2.43897E-06  1.11828E-06  6.52251E-03 -1.62920E-08  1.81453E-08 -2.24023E-07  3.59747E-07
     41  8.10036E-03 -8.31951E-18 -3.43254E-23 -6.96985E-22  5.87647E-02 -1.72592E-02  5.22125E-03  2.46956E-06  1.11808E-06  6.65736E-03 -1.62630E-08  1.82330E-08 -2.29130E-07  3.57407E-07
     42  8.10038E-03 -8.31908E-18 -3.60907E-23 -7.24759E-22  5.87476E-02 -1.72577E-02  5.20596E-03  2.50188E-06  1.11774E-06  7.00330E-03 -1.62383E-08  1.83107E-08 -2.34398E-07  3.54613E-07
     43  8.10041E-03 -8.31864E-18 -3.79128E-23 -7.53439E-22  5.87307E-02 -1.72561E-02  5.19220E-03  2.53591E-06  1.11743E-06  7.39610E-03 -1.62207E-08  1.83736E-08 -2.39789E-07  3.51395E-07
     44  8.10043E-03 -8.31818E-18 -3.98022E-23 -7.83040E-22  5.87138E-02 -1.72545E-02  5.17999E-03  2.57163E-06  1.11715E-06  7.63766E-03 -1.62072E-08  1.84258E-08 -2.45361E-07  3.47859E-07
     45  8.10045E-03 -8.31771E-18 -4.17635E-23 -8.13589E-22  5.86972E-02 -1.72529E-02  5.16934E-03  2.60896E-06  1.11692E-06  7.72431E-03 -1.62032E-08  1.84744E-08 -2.51028E-07  3.44092E-07
     46  8.10048E-03 -8.31724E-18 -4.38014E-23 -8.45117E-22  5.86806E-02 -1.72513E-02  5.16028E-03  2.64781E-06  1.11680E-06  7.68072E-03 -1.62024E-08  1.85158E-08 -2.56620E-07  3.40209E-07
     47  8.10050E-03 -8.31675E-18 -4.59299E-23 -8.77661E-22  5.86643E-02 -1.72497E-02  5.15280E-03  2.68815E-06  1.11680E-06  7.61034E-03 -1.62060E-08  1.85495E-08 -2.62045E-07  3.36312E-07
     48  8.10052E-03 -8.31625E-18 -4.81522E-23 -9.11302E-22  5.86481E-02 -1.72481E-02  5.14688E-03  2.72986E-06  1.11699E-06  7.57478E-03 -1.62128E-08  1.85760E-08 -2.67190E-07  3.32523E-07
     49  8.10054E-03 -8.31573E-18 -5.04672E-23 -9.46100E-22  5.86321E-02 -1.72464E-02  5.14247E-03  2.77286E-06  1.11739E-06  7.46428E-03 -1.62293E-08  1.86042E-08 -2.72106E-07  3.28910E-07
     50  8.10056E-03 -8.31520E-18 -5.28673E-23 -9.82120E-22  5.86161E-02 -1.72448E-02  5.13951E-03  2.81706E-06  1.11769E-06  7.46891E-03 -1.62393E-08  1.86183E-08 -2.76618E-07  3.25497E-07
