Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz e Pmin Pmax
     61  4.27189E+01  7.31566E-01  5.00000E+00 -3.34438E-15 -2.25900E-36  4.51801E-36  7.43031E-19  2.30262E-19  9.78528E-01  6.79755E-10  6.90350E-03  3.32454E-01
     62  4.34505E+01  7.31616E-01  5.00000E+00 -3.34437E-15  6.77701E-36  0.00000E+00  2.47677E-19 -2.61222E-19  9.78156E-01  6.79755E-10  6.90350E-03  3.33987E-01
     63  4.41822E+01  7.31667E-01  5.00000E+00 -3.34436E-15  0.00000E+00  0.00000E+00  0.00000E+00 -3.63776E-19  9.77784E-01  6.79755E-10  6.90350E-03  3.35505E-01
     64  4.49139E+01  7.31717E-01  5.00000E+00 -3.34435E-15  0.00000E+00  2.25900E-36  7.43031E-19 -1.93498E-20  9.77411E-01  6.79755E-10  6.90350E-03  3.37008E-01
     65  4.56457E+01  7.31767E-01  5.00000E+00 -3.34434E-15 -6.77701E-36  0.00000E+00  4.95354E-19  1.74148E-19  9.77039E-01  6.79754E-10  6.90350E-03  3.38496E-01
     66  4.63775E+01  7.31817E-01  5.00000E+00 -3.34433E-15 -9.03601E-36  9.03601E-36 -4.95354E-19 -6.19193E-20  9.76666E-01  6.79754E-10  6.90350E-03  3.39968E-01
     67  4.71094E+01  7.31868E-01  5.00000E+00 -3.34432E-15 -4.51801E-36  1.12950E-35  0.00000E+00 -7.73991E-21  9.76294E-01  6.79754E-10  6.90350E-03  3.41425E-01
     68  4.78413E+01  7.31918E-01  5.00000E+00 -3.34430E-15  1.12950E-35 -4.51801E-36 -1.73374E-18 -1.12229E-19  9.75922E-01  6.79754E-10  6.90350E-03  3.42866E-01
     69  4.85732E+01  7.31968E-01  5.00000E+00 -3.34429E-15  1.12950E-35 -4.51801E-36  4.95354E-19 -3.90865E-19  9.75549E-01  6.79754E-10  6.90350E-03  3.44291E-01
     70  4.93053E+01  7.32018E-01  5.00000E+00 -3.34428E-15  2.25900E-36 -2.03310E-35  7.43031E-19 -4.64395E-20  9.75177E-01  6.79754E-10  6.90350E-03  3.45699E-01
     71  5.00373E+01  7.32067E-01  5.00000E+00 -3.34427E-15 -9.03601E-36  4.51801E-36  2.47677E-19 -1.54798E-19  9.74805E-01  6.79753E-10  6.90350E-03  3.47092E-01
     72  5.07694E+01  7.32117E-01  5.00000E+00 -3.34426E-15 -9.03601E-36  0.00000E+00  7.43031E-19  2.43807E-19  9.74433E-01  6.79753E-10  6.90350E-03  3.48469E-01
     73  5.15016E+01  7.32167E-01  5.00000E+00 -3.34425E-15 -2.25900E-36  9.03601E-36 -7.43031E-19  3.25076E-19  9.74060E-01  6.79753E-10  6.90350E-03  3.49829E-01
     74  5.22338E+01  7.32216E-01  5.00000E+00 -3.34424E-15  6.77701E-36  0.00000E+00  2.47677E-18 -2.43807E-19  9.73688E-01  6.79753E-10  6.90350E-03  3.51173E-01
     75  5.29661E+01  7.32265E-01  5.00000E+00 -3.34423E-15  1.12950E-35  2.25900E-36  7.43031E-19 -2.01238E-19  9.73316E-01  6.79753E-10  6.90350E-03  3.52501E-01
     76  5.36984E+01  7.32314E-01  5.00000E+00 -3.34422E-15  0.00000E+00 -1.80720E-35  1.48606E-18  5.65013E-19  9.72944E-01  6.79753E-10  6.90350E-03  3.53812E-01
     77  5.44308E+01  7.32363E-01  5.00000E+00 -3.34421E-15 -1.80720E-35 -4.51801E-36  4.95354E-19  1.78018E-19  9.72572E-01  6.79752E-10  6.90350E-03  3.55108E-01
     78  5.51632E+01  7.32411E-01  5.00000E+00 -3.34420E-15  2.25900E-35  1.58130E-35 -1.48606E-18  1.74148E-19  9.72200E-01  6.79752E-10  6.90350E-03  3.56387E-01
     79  5.58956E+01  7.32460E-01  5.00000E+00 -3.34419E-15  0.00000E+00 -2.25900E-36 -2.47677E-19  1.23839E-19  9.71827E-01  6.79752E-10  6.90350E-03  3.57650E-01
     80  5.66281E+01  7.32508E-01  5.00000E+00 -3.34418E-15  1.35540E-35 -4.51801E-36  1.48606E-18  3.56036E-19  9.71455E-01  6.79752E-10  6.90350E-03  3.58897E-01
     81  5.73607E+01  7.32556E-01  5.00000E+00 -3.34417E-15  9.03601E-36  4.51801E-36  1.23839E-18  4.17955E-19  9.71083E-01  6.79752E-10  6.90350E-03  3.60129E-01
     82  5.80933E+01  7.32604E-01  5.00000E+00 -3.34416E-15  4.51801E-36 -1.80720E-35  4.95354E-19 -2.43807E-19  9.70711E-01  6.79752E-10  6.90350E-03  3.61345E-01
     83  5.88260E+01  7.32651E-01  5.00000E+00 -3.34415E-15  1.80720E-35  0.00000E+00 -1.98142E-18  9.28789E-20  9.70339E-01  6.79752E-10  6.90350E-03  3.62545E-01
     84  5.95587E+01  7.32699E-01  5.00000E+00 -3.34414E-15  9.03601E-36  1.35540E-35 -9.90708E-19 -1.00619E-19  9.69967E-01  6.79751E-10  6.90350E-03  3.63729E-01
     85  6.02914E+01  7.32746E-01  5.00000E+00 -3.34413E-15 -1.35540E-35 -1.80720E-35 -1.98142E-18  6.96592E-20  9.69595E-01  6.79751E-10  6.90350E-03  3.64899E-01
     86  6.10242E+01  7.32793E-01  5.00000E+00 -3.34412E-15  9.03601E-36 -4.51801E-36 -4.95354E-19 -5.14704E-19  9.69223E-01  6.79751E-10  6.90350E-03  3.66053E-01
     87  6.17570E+01  7.32840E-01  5.00000E+00 -3.34411E-15  1.35540E-35 -4.51801E-36  0.00000E+00 -2.59287E-19  9.68851E-01  6.79751E-10  6.90350E-03  3.67192E-01
     88  6.24899E+01  7.32886E-01  5.00000E+00 -3.34410E-15 -4.51801E-36  4.51801E-36  9.90708E-19 -3.32816E-19  9.68479E-01  6.79751E-10  6.90350E-03  3.68316E-01
     89  6.32229E+01  7.32932E-01  5.00000E+00 -3.34409E-15  9.03601E-36 -1.35540E-35  2.47677E-18 -9.67489E-20  9.68107E-01  6.79751E-10  6.90350E-03  3.69426E-01
     90  6.39558E+01  7.32978E-01  5.00000E+00 -3.34408E-15 -4.51801E-36 -2.25900E-35  1.48606E-18  3.05726E-19  9.67736E-01  6.79751E-10  6.90350E-03  3.70521E-01
     91  6.46889E+01  7.33024E-01  5.00000E+00 -3.34407E-15 -4.51801E-36  1.35540E-35 -9.90708E-19  5.03094E-19  9.67364E-01  6.79751E-10  6.90350E-03  3.71601E-01
     92  6.54219E+01  7.33070E-01  5.00000E+00 -3.34406E-15 -4.51801E-36 -2.71080E-35 -4.95354E-19 -1.39318E-19  9.66992E-01  6.79750E-10  6.90350E-03  3.72668E-01
     93  6.61550E+01  7.33115E-01  5.00000E+00 -3.34405E-15 -4.51801E-36 -9.03601E-36 -4.95354E-19  5.26314E-19  9.66620E-01  6.79750E-10  6.90350E-03  3.73721E-01
     94  6.68882E+01  7.33160E-01  5.00000E+00 -3.34404E-15 -1.35540E-35  9.03601E-36  9.90708E-19 -2.78637E-19  9.66248E-01  6.79750E-10  6.90350E-03  3.74759E-01
     95  6.76214E+01  7.33205E-01  5.00000E+00 -3.34403E-15  0.00000E+00  1.35540E-35  1.48606E-18 -9.28789E-20  9.65876E-01  6.79750E-10  6.90350E-03  3.75789E-01
     96  6.83547E+01  7.33249E-01  5.00000E+00 -3.34402E-15 -1.80720E-35 -2.25900E-35  4.95354E-19 -7.04332E-19  9.65504E-01  6.79750E-10  6.90350E-03  3.77616E-01
     97  6.90879E+01  7.33294E-01  5.00000E+00 -3.34401E-15 -1.80720E-35  2.25900E-35 -2.47677E-18  5.18574E-19  9.65133E-01  6.79750E-10  6.90350E-03  3.79409E-01
     98  6.98213E+01  7.33338E-01  5.00000E+00 -3.34400E-15  4.51801E-36 -1.80720E-35  2.97212E-18 -1.62538E-19  9.64761E-01  6.79750E-10  6.90350E-03  3.81166E-01
     99  7.05547E+01  7.33382E-01  5.00000E+00 -3.34399E-15  1.80720E-35  0.00000E+00  0.00000E+00 -5.41794E-20  9.64389E-01  6.79750E-10  6.90350E-03  3.82891E-01
    100  7.12881E+01  7.33425E-01  5.00000E+00 -3.34398E-15  4.51801E-36  4.51801E-36  1.98142E-18  1.54798E-19  9.64018E-01  6.79749E-10  6.90350E-03  3.84583E-01
    101  7.20216E+01  7.33468E-01  5.00000E+00 -3.34397E-15  2.25900E-35 -4.51801E-36  4.95354E-19  4.10215E-19  9.63646E-01  6.79749E-10  6.90350E-03  3.86243E-01
    102  7.27551E+01  7.33511E-01  5.00000E+00 -3.34396E-15  1.35540E-35  4.51801E-36  2.47677E-18  6.50152E-19  9.63274E-01  6.79749E-10  6.90350E-03  3.87873E-01
    103  7.34886E+01  7.33554E-01  5.00000E+00 -3.34395E-15  0.00000E+00  1.35540E-35 -1.48606E-18 -2.32197E-19  9.62902E-01  6.79749E-10  6.90350E-03  3.89472E-01
    104  7.42222E+01  7.33597E-01  5.00000E+00 -3.34394E-15  9.03601E-36 -4.96981E-35 -2.47677E-18  2.63157E-19  9.62531E-01  6.79749E-10  6.90350E-03  3.91042E-01
    105  7.49559E+01  7.33639E-01  5.00000E+00 -3.34393E-15  0.00000E+00  0.00000E+00  4.95354E-19  8.51390E-20  9.62159E-01  6.79749E-10  6.90350E-03  3.92584E-01
    106  7.56895E+01  7.33681E-01  5.00000E+00 -3.34393E-15 -4.51801E-36 -4.51801E-36 -9.90708E-19  2.94117E-19  9.61788E-01  6.79749E-10  6.90350E-03  3.94097E-01
    107  7.64233E+01  7.33723E-01  5.00000E+00 -3.34392E-15  1.80720E-35 -1.80720E-35 -4.95354E-19  1.54798E-19  9.61416E-01  6.79749E-10  6.90350E-03  3.95584E-01
    108  7.71570E+01  7.33764E-01  5.00000E+00 -3.34391E-15  3.16261E-35  2.25900E-35  4.95354E-19  3.01856E-19  9.61044E-01  6.79748E-10  6.90350E-03  3.97043E-01
    109  7.78908E+01  7.33806E-01  5.00000E+00 -3.34390E-15  4.51801E-36  1.35540E-35  0.00000E+00  3.25076E-19  9.60673E-01  6.79748E-10  6.90350E-03  3.98478E-01
    110  7.86247E+01  7.33847E-01  5.00000E+00 -3.34389E-15  1.35540E-35  1.80720E-35 -4.95354E-19  2.01238E-19  9.60301E-01  6.79748E-10  6.90350E-03  3.99886E-01
    111  7.93586E+01  7.33887E-01  5.00000E+00 -3.34388E-15  1.35540E-35  0.00000E+00 -4.95354E-19  3.56036E-19  9.59930E-01  6.79748E-10  6.90350E-03  4.01271E-01
    112  8.00925E+01  7.33928E-01  5.00000E+00 -3.34387E-15  0.00000E+00 -1.35540E-35 -9.90708E-19 -5.41794E-20  9.59558E-01  6.79748E-10  6.90350E-03  4.02631E-01
    113  8.08265E+01  7.33968E-01  5.00000E+00 -3.34386E-15  9.03601E-36 -1.35540E-35  2.47677E-18 -3.25076E-19  9.59187E-01  6.79748E-10  6.90350E-03  4.03967E-01
    114  8.15605E+01  7.34008E-01  5.00000E+00 -3.34385E-15  1.80720E-35 -1.80720E-35  1.48606E-18 -4.17955E-19  9.58815E-01  6.79748E-10  6.90350E-03  4.05279E-01
    115  8.22945E+01  7.34048E-01  5.00000E+00 -3.34384E-15  1.80720E-35 -4.96981E-35  9.90708E-19  1.54798E-19  9.58444E-01  6.79748E-10  6.90350E-03  4.06569E-01
    116  8.30286E+01  7.34087E-01  5.00000E+00 -3.34383E-15  2.71080E-35  1.80720E-35 -9.90708E-19 -5.72753E-19  9.58072E-01  6.79748E-10  6.90350E-03  4.07837E-01
    117  8.37627E+01  7.34126E-01  5.00000E+00 -3.34382E-15  1.80720E-35 -1.80720E-35  4.95354E-19 -5.10834E-19  9.57701E-01  6.79747E-10  6.90350E-03  4.09083E-01
    118  8.44969E+01  7.34165E-01  5.00000E+00 -3.34382E-15  0.00000E+00 -1.35540E-35  9.90708E-19  2.86377E-19  9.57330E-01  6.79747E-10  6.90350E-03  4.10307E-01
    119  8.52311E+01  7.34204E-01  5.00000E+00 -3.34381E-15  3.61441E-35 -2.71080E-35  2.47677E-18  5.10834E-19  9.56958E-01  6.79747E-10  6.90350E-03  4.11511E-01
    120  8.59653E+01  7.34242E-01  5.00000E+00 -3.34380E-15  5.42161E-35 -4.51801E-36 -1.48606E-18  7.73991E-21  9.56587E-01  6.79747E-10  6.90350E-03  4.12695E-01
    121  8.66996E+01  7.34280E-01  5.00000E+00 -3.34379E-15  2.71080E-35  3.61441E-35 -1.98142E-18  9.28789E-20  9.56215E-01  6.79747E-10  6.90350E-03  4.13859E-01
    122  8.74339E+01  7.34318E-01  5.00000E+00 -3.34378E-15 -9.03601E-36 -5.42161E-35 -9.90708E-19  1.23839E-19  9.55844E-01  6.79747E-10  6.90350E-03  4.15004E-01
    123  8.81683E+01  7.34355E-01  5.00000E+00 -3.34377E-15  5.42161E-35 -1.80720E-35 -1.98142E-18  1.62538E-19  9.55473E-01  6.79747E-10  6.90350E-03  4.16130E-01
    124  8.89027E+01  7.34392E-01  5.00000E+00 -3.34376E-15  0.00000E+00  0.00000E+00 -2.47677E-18 -3.86995E-20  9.55101E-01  6.79747E-10  6.90350E-03  4.17238E-01
    125  8.96371E+01  7.34429E-01  5.00000E+00 -3.34375E-15  1.80720E-35  2.71080E-35  2.47677E-18  2.55417E-19  9.54730E-01  6.79747E-10  6.90350E-03  4.18328E-01
    126  9.03716E+01  7.34466E-01  5.00000E+00 -3.34374E-15  1.80720E-35  9.03601E-36  0.00000E+00  3.09596E-19  9.54359E-01  6.79747E-10  6.90350E-03  4.19400E-01
    127  9.11061E+01  7.34502E-01  5.00000E+00 -3.34374E-15  2.71080E-35 -9.03601E-36 -9.90708E-19  5.41794E-19  9.53988E-01  6.79746E-10  6.90350E-03  4.20455E-01
    128  9.18406E+01  7.34538E-01  5.00000E+00 -3.34373E-15  5.42161E-35  1.80720E-35  1.48606E-18 -8.59130E-19  9.53616E-01  6.79746E-10  6.90350E-03  4.21493E-01
    129  9.25752E+01  7.34574E-01  5.00000E+00 -3.34372E-15 -2.71080E-35  0.00000E+00 -1.48606E-18 -6.19193E-20  9.53245E-01  6.79746E-10  6.90350E-03  4.22515E-01
