Volume averages, fluxes, etc
it t rho dt p ux uy uz bx by bz
      77  0.00000E+00  2.25859E+007  0.00000E+000  1.28935E-001 -2.17150E-015 -6.52336E-015  3.76875E+002  3.06676E+001 -2.84541E-015  3.22154E-016
      78  0.00000E+00  2.25859E+007  0.00000E+000  1.31370E-001 -2.74675E-015 -5.28289E-015  3.76397E+002  3.06912E+001  5.29579E-016  2.67825E-016
      79  0.00000E+00  2.25859E+007  0.00000E+000  1.33742E-001 -4.62827E-016  4.46101E-015  3.75905E+002  3.07117E+001  7.04711E-016  5.55650E-016
      80  0.00000E+00  2.25859E+007  0.00000E+000  1.36042E-001 -3.82358E-015 -1.64393E-015  3.75401E+002  3.07289E+001 -2.24050E-016  3.29305E-016
      81  0.00000E+00  2.25859E+007  0.00000E+000  1.38265E-001 -1.21396E-015 -2.41724E-015  3.74883E+002  3.07429E+001 -1.18057E-015  2.20961E-016
      82  0.00000E+00  2.25859E+007  0.00000E+000  1.40407E-001 -1.63635E-015 -7.25903E-015  3.74352E+002  3.07535E+001  5.49927E-017  3.60614E-016
      83  0.00000E+00  2.25859E+007  0.00000E+000  1.42465E-001 -3.78067E-016  6.58756E-016  3.73807E+002  3.07603E+001 -1.79884E-015  2.11987E-016
      84  0.00000E+00  2.25859E+007  0.00000E+000  1.44449E-001 -1.37506E-015  8.51539E-015  3.73250E+002  3.07627E+001 -1.00048E-015  1.66575E-016
      85  0.00000E+00  2.25859E+007  0.00000E+000  1.46356E-001 -9.03772E-016 -8.06761E-015  3.72683E+002  3.07612E+001 -4.44221E-016  4.56480E-016
      86  0.00000E+00  2.25859E+007  0.00000E+000  1.48183E-001 -1.41354E-015  8.70456E-015  3.72109E+002  3.07565E+001 -8.88590E-016  3.40900E-016
      87  0.00000E+00  2.25859E+007  0.00000E+000  1.49924E-001 -1.46843E-015  5.23150E-015  3.71530E+002  3.07491E+001 -9.77227E-017  2.09337E-016
      88  0.00000E+00  2.25859E+007  0.00000E+000  1.51580E-001 -7.44434E-017 -8.23811E-015  3.70948E+002  3.07396E+001 -3.95428E-016 -1.48798E-016
      89  0.00000E+00  2.25859E+007  0.00000E+000  1.53138E-001 -3.10002E-015 -6.91129E-015  3.70365E+002  3.07287E+001  5.48772E-016  2.71244E-016
      90  0.00000E+00  2.25859E+007  0.00000E+000  1.54596E-001 -1.94666E-015  6.14306E-015  3.69785E+002  3.07174E+001 -1.62398E-015  2.75232E-016
      91  0.00000E+00  2.25859E+007  0.00000E+000  1.55958E-001 -2.85541E-015  6.93191E-015  3.69210E+002  3.07059E+001 -1.72291E-015  5.16919E-016
      92  0.00000E+00  2.25859E+007  0.00000E+000  1.57244E-001 -1.85345E-015  1.48071E-015  3.68642E+002  3.06934E+001 -3.14458E-016  2.92739E-016
      93  0.00000E+00  2.25859E+007  0.00000E+000  1.58463E-001  1.87415E-015 -1.12645E-014  3.68084E+002  3.06810E+001 -8.65856E-016  1.15566E-016
      94  0.00000E+00  2.25859E+007  0.00000E+000  1.59619E-001 -1.73926E-015 -2.02935E-014  3.67540E+002  3.06694E+001  3.22460E-017  6.88323E-016
      95  0.00000E+00  2.25859E+007  0.00000E+000  1.60718E-001 -1.31972E-015  9.45488E-015  3.67012E+002  3.06589E+001 -1.27494E-015  1.85264E-016
      96  0.00000E+00  2.25859E+007  0.00000E+000  1.61768E-001 -1.15816E-015  7.47058E-015  3.66500E+002  3.06501E+001 -9.91635E-016  4.86450E-016
      97  0.00000E+00  2.25859E+007  0.00000E+000  1.62777E-001  2.06986E-015  1.24945E-014  3.66008E+002  3.06434E+001  1.99463E-015 -2.09138E-016
      98  0.00000E+00  2.25859E+007  0.00000E+000  1.63750E-001  1.99762E-016  1.27828E-014  3.65535E+002  3.06391E+001  2.77168E-015  3.15402E-016
      99  0.00000E+00  2.25859E+007  0.00000E+000  1.64686E-001  2.70628E-015 -1.85862E-015  3.65083E+002  3.06374E+001 -1.22653E-015  1.22077E-015
     100  0.00000E+00  2.25859E+007  0.00000E+000  1.65593E-001 -7.50042E-017  5.21116E-015  3.64653E+002  3.06382E+001 -9.11943E-016  6.68381E-016
     101  0.00000E+00  2.25859E+007  0.00000E+000  1.66474E-001 -1.79911E-015  9.88230E-015  3.64244E+002  3.06418E+001  1.72300E-015  9.47118E-016
     102  0.00000E+00  2.25859E+007  0.00000E+000  1.67338E-001  4.44343E-016 -1.76617E-015  3.63855E+002  3.06483E+001 -3.93325E-016  1.99338E-016
     103  0.00000E+00  2.25859E+007  0.00000E+000  1.68190E-001  2.00232E-015 -1.47437E-015  3.63487E+002  3.06576E+001 -1.62097E-016  2.54086E-016
     104  0.00000E+00  2.25859E+007  0.00000E+000  1.69031E-001  8.47822E-016  4.95291E-016  3.63139E+002  3.06695E+001 -7.38225E-016  4.29793E-016
     105  0.00000E+00  2.25859E+007  0.00000E+000  1.69867E-001 -1.15245E-015  1.47231E-014  3.62808E+002  3.06835E+001 -7.64930E-017  1.44845E-016
     106  0.00000E+00  2.25859E+007  0.00000E+000  1.70698E-001  1.14225E-016 -6.07280E-015  3.62495E+002  3.06995E+001 -4.02742E-016  2.54514E-016
     107  0.00000E+00  2.25859E+007  0.00000E+000  1.71529E-001 -2.13338E-015  3.51009E-015  3.62198E+002  3.07175E+001 -1.01800E-016  2.26053E-016
     108  0.00000E+00  2.25859E+007  0.00000E+000  1.72359E-001  5.25189E-016 -1.33064E-014  3.61916E+002  3.07373E+001 -1.72242E-015  6.54571E-016
     109  0.00000E+00  2.25859E+007  0.00000E+000  1.73190E-001  6.89146E-016  5.95821E-015  3.61647E+002  3.07590E+001  1.02539E-015  5.13265E-016
