Volume averages, fluxes, etc
it t dt rho mx my mz bx by bz Ew e Pmin Pmax
     57  0.00000E+00  0.00000E+00  4.24509E-21 -1.31292E-13  5.26052E-13 -2.42512E-13 -9.31247E-03 -7.13101E-03  3.75233E-02  4.34147E-02  1.61855E-02  6.56717E-04  1.05551E-01
     58  0.00000E+00  0.00000E+00  4.03650E-21 -1.19918E-13  5.09145E-13 -2.36210E-13 -8.87345E-03 -6.66672E-03  3.52839E-02  4.34806E-02  1.61276E-02  6.38990E-04  1.05403E-01
     59  0.00000E+00  0.00000E+00  3.84072E-21 -1.08639E-13  4.91948E-13 -2.30254E-13 -8.43749E-03 -6.20227E-03  3.30649E-02  4.35362E-02  1.60672E-02  6.22930E-04  1.05252E-01
     60  0.00000E+00  0.00000E+00  3.65562E-21 -9.74026E-14  4.74276E-13 -2.24558E-13 -8.01339E-03 -5.74489E-03  3.09208E-02  4.33828E-02  1.60219E-02  6.08519E-04  1.05095E-01
     61  0.00000E+00  0.00000E+00  3.56508E-21 -9.08741E-14  4.64895E-13 -2.26324E-13 -7.79927E-03 -5.49377E-03  2.97037E-02  4.35394E-02  1.59597E-02  5.98538E-04  1.33860E-01
     62  0.00000E+00  0.00000E+00  3.49662E-21 -8.43974E-14  4.55916E-13 -2.28073E-13 -7.58972E-03 -5.24777E-03  2.84972E-02  4.34083E-02  1.59381E-02  5.93077E-04  1.39120E-01
     63  0.00000E+00  0.00000E+00  3.45039E-21 -7.80499E-14  4.46926E-13 -2.29563E-13 -7.38383E-03 -5.00448E-03  2.72998E-02  4.33999E-02  1.59020E-02  5.91880E-04  1.43780E-01
     64  0.00000E+00  0.00000E+00  3.42534E-21 -7.18598E-14  4.37834E-13 -2.30651E-13 -7.18068E-03 -4.76088E-03  2.61091E-02  4.33279E-02  1.58741E-02  5.89998E-04  1.50911E-01
     65  0.00000E+00  0.00000E+00  3.42026E-21 -6.58653E-14  4.28547E-13 -2.31167E-13 -6.98014E-03 -4.51529E-03  2.49233E-02  4.32904E-02  1.58406E-02  5.88176E-04  1.55865E-01
     66  0.00000E+00  0.00000E+00  3.43404E-21 -5.99839E-14  4.18979E-13 -2.31077E-13 -6.78196E-03 -4.26649E-03  2.37419E-02  4.32385E-02  1.58063E-02  5.81740E-04  1.58319E-01
     67  0.00000E+00  0.00000E+00  3.46559E-21 -5.41866E-14  4.09066E-13 -2.30395E-13 -6.58601E-03 -4.01355E-03  2.25665E-02  4.31917E-02  1.57673E-02  5.73197E-04  1.58738E-01
     68  0.00000E+00  0.00000E+00  3.51385E-21 -4.84255E-14  3.98775E-13 -2.29154E-13 -6.39194E-03 -3.75580E-03  2.13992E-02  4.31310E-02  1.57248E-02  5.65637E-04  1.63455E-01
     69  0.00000E+00  0.00000E+00  3.57767E-21 -4.26715E-14  3.88074E-13 -2.27409E-13 -6.19945E-03 -3.49282E-03  2.02431E-02  4.30556E-02  1.56775E-02  5.59066E-04  1.73528E-01
     70  0.00000E+00  0.00000E+00  3.65592E-21 -3.69050E-14  3.76943E-13 -2.25238E-13 -6.00835E-03 -3.22433E-03  1.91021E-02  4.29582E-02  1.56253E-02  5.53962E-04  1.81699E-01
     71  0.00000E+00  0.00000E+00  3.74745E-21 -3.10910E-14  3.65350E-13 -2.22728E-13 -5.81868E-03 -2.95035E-03  1.79803E-02  4.28351E-02  1.55679E-02  5.48804E-04  1.87308E-01
     72  0.00000E+00  0.00000E+00  3.85116E-21 -2.52075E-14  3.53281E-13 -2.19979E-13 -5.63057E-03 -2.67105E-03  1.68818E-02  4.26823E-02  1.55052E-02  5.40226E-04  1.90230E-01
     73  0.00000E+00  0.00000E+00  3.96595E-21 -1.92484E-14  3.40730E-13 -2.17089E-13 -5.44413E-03 -2.38689E-03  1.58104E-02  4.24981E-02  1.54372E-02  5.33195E-04  1.90630E-01
     74  0.00000E+00  0.00000E+00  4.09077E-21 -1.32211E-14  3.27683E-13 -2.14159E-13 -5.25937E-03 -2.09851E-03  1.47695E-02  4.22825E-02  1.53637E-02  5.28903E-04  1.89162E-01
