Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Ex Ey Ez HypE E ElRho ElMx ElMy ElMz ElE Pmin Pmax
   1750  2.79840E+03  1.60000E+000  1.00000E+000 -4.69533E-006 -4.79769E-008 -2.21145E-005  1.00000E+000 -1.67227E-017 -6.09864E-022  3.88127E-004 -8.31737E-004  3.66549E-003  2.67763E-009  1.74624E-002  1.00000E-002 -2.07488E-007 -7.09249E-007  3.32741E-006  1.50315E-002  9.81775E-003  1.01966E-002
   1800  2.87840E+03  1.60000E+000  1.00000E+000 -4.93985E-006  1.21047E-007 -2.22461E-005  1.00000E+000 -1.02349E-017 -9.14796E-022  3.80855E-004 -7.79188E-004  3.18806E-003  2.63122E-009  1.74621E-002  1.00000E-002 -1.61803E-007 -8.10715E-007  3.74331E-006  1.50294E-002  9.81177E-003  1.02027E-002
   1850  2.95840E+03  1.60000E+000  1.00000E+000 -5.18523E-006  2.79697E-007 -2.23726E-005  1.00000E+000 -1.11022E-017  2.23617E-021  3.59427E-004 -7.08238E-004  2.66249E-003  2.50635E-009  1.74625E-002  1.00000E-002 -1.17931E-007 -9.04529E-007  4.09604E-006  1.50273E-002  9.80609E-003  1.02084E-002
   1900  3.03840E+03  1.60000E+000  1.00000E+000 -5.42774E-006  4.28498E-007 -2.26261E-005  1.00000E+000 -1.80758E-017 -8.63974E-021  3.24163E-004 -6.19330E-004  2.09729E-003  2.35096E-009  1.74635E-002  1.00000E-002 -7.75903E-008 -9.88429E-007  4.37885E-006  1.50254E-002  9.80024E-003  1.02136E-002
   1950  3.11840E+03  1.60000E+000  1.00000E+000 -5.65626E-006  5.78878E-007 -2.23889E-005  1.00000E+000 -1.61676E-017 -1.10792E-020  2.75916E-004 -5.14031E-004  1.50162E-003  3.01766E-009  1.74651E-002  1.00000E-002 -4.23498E-008 -1.06013E-006  4.59357E-006  1.50237E-002  9.79455E-003  1.02182E-002
   2000  3.19840E+03  1.60000E+000  1.00000E+000 -5.87605E-006  7.27871E-007 -2.26202E-005  1.00000E+000 -1.92207E-017 -4.09964E-021  2.16155E-004 -3.92724E-004  8.85011E-004  2.50333E-009  1.74672E-002  1.00000E-002 -1.37991E-008 -1.11766E-006  4.72742E-006  1.50222E-002  9.78916E-003  1.02224E-002
   2050  3.27840E+03  1.60000E+000  1.00000E+000 -6.07592E-006  8.35588E-007 -2.29300E-005  1.00000E+000 -1.08941E-017 -2.15337E-020  1.46894E-004 -2.57472E-004  2.57301E-004  2.08753E-009  1.74699E-002  1.00000E-002  6.85518E-009 -1.15956E-006  4.78236E-006  1.50210E-002  9.78407E-003  1.02264E-002
   2100  3.35840E+03  1.60000E+000  1.00000E+000 -6.25207E-006  8.74983E-007 -2.31155E-005  1.00000E+000 -5.62050E-018 -1.18585E-020  7.06703E-005 -1.10479E-004 -3.71578E-004  9.29257E-010  1.74729E-002  1.00000E-002  1.86185E-008 -1.18451E-006  4.75970E-006  1.50199E-002  9.77933E-003  1.02302E-002
   2150  3.43840E+03  1.60000E+000  1.00000E+000 -6.40564E-006  9.15440E-007 -2.30158E-005  1.00000E+000 -1.42247E-017 -2.11292E-020 -9.47599E-006  4.57878E-005 -9.91575E-004  9.08247E-010  1.74762E-002  1.00000E-002  2.07955E-008 -1.19049E-006  4.66158E-006  1.50190E-002  9.77495E-003  1.02340E-002
   2200  3.51840E+03  1.60000E+000  1.00000E+000 -6.52639E-006  9.79990E-007 -2.26436E-005  1.00000E+000 -5.34295E-018 -8.77950E-021 -9.01679E-005  2.08770E-004 -1.59291E-003  4.85956E-010  1.74798E-002  1.00000E-002  1.32072E-008 -1.17624E-006  4.48965E-006  1.50182E-002  9.77094E-003  1.02378E-002
   2250  3.59840E+03  1.60000E+000  1.00000E+000 -6.62087E-006  9.79114E-007 -2.23813E-005  1.00000E+000 -1.02696E-017 -6.09864E-021 -1.67731E-004  3.76055E-004 -2.16621E-003 -1.11318E-010  1.74835E-002  1.00000E-002 -4.05019E-009 -1.14196E-006  4.24307E-006  1.50175E-002  9.76739E-003  1.02416E-002
   2300  3.67840E+03  1.60000E+000  1.00000E+000 -6.68445E-006  9.45137E-007 -2.19923E-005  1.00000E+000 -9.57567E-018 -3.85400E-021 -2.38322E-004  5.44464E-004 -2.70250E-003  1.25515E-010  1.74871E-002  1.00000E-002 -3.02989E-008 -1.08700E-006  3.92834E-006  1.50167E-002  9.76435E-003  1.02454E-002
   2350  3.75840E+03  1.60000E+000  1.00000E+000 -6.71505E-006  9.14913E-007 -2.17812E-005  1.00000E+000 -6.38378E-018 -4.81115E-021 -2.98123E-004  7.11221E-004 -3.19339E-003  8.66656E-010  1.74906E-002  1.00000E-002 -6.44067E-008 -1.01103E-006  3.54761E-006  1.50158E-002  9.76187E-003  1.02489E-002
   2400  3.83840E+03  1.60000E+000  1.00000E+000 -6.72125E-006  8.50865E-007 -2.12576E-005  1.00000E+000 -1.11022E-018 -7.31836E-021 -3.43439E-004  8.72712E-004 -3.63135E-003  1.29919E-009  1.74938E-002  1.00000E-002 -1.04875E-007 -9.14852E-007  3.11201E-006  1.50148E-002  9.75890E-003  1.02516E-002
   2450  3.91840E+03  1.60000E+000  1.00000E+000 -6.69803E-006  7.64465E-007 -2.06585E-005  1.00000E+000 -9.71445E-018  5.01444E-021 -3.70809E-004  1.02604E-003 -4.00967E-003  2.08344E-009  1.74967E-002  1.00000E-002 -1.49621E-007 -7.99183E-007  2.62626E-006  1.50136E-002  9.75628E-003  1.02532E-002
   2500  3.99840E+03  1.60000E+000  1.00000E+000 -6.65472E-006  6.83509E-007 -2.02176E-005  1.00000E+000 -5.68989E-018  9.21572E-021 -3.77201E-004  1.16835E-003 -4.32257E-003  1.27757E-009  1.74991E-002  1.00000E-002 -1.96299E-007 -6.64951E-007  2.09592E-006  1.50124E-002  9.75413E-003  1.02562E-002
