LOS table - Multiple Instruments: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 10
200 14
0.0
l10T l10ne AIA:94 AIA:131 AIA:171 AIA:193 AIA:211 AIA:304 AIA:335 XRT:Al-mesh XRT:Al-poly XRT:Ti-poly
5.20351e+00 5.00000e+00 1.20570e-04 1.46904e-02 1.59645e-01 2.75148e-01 5.28362e-01 6.75635e-01 3.29242e-02 2.93783e-02 1.84217e-03 5.18271e-05
5.22110e+00 5.00000e+00 1.47549e-04 1.64018e-02 2.16660e-01 3.43320e-01 6.12771e-01 6.38497e-01 3.34585e-02 3.44756e-02 2.18358e-03 6.32984e-05
5.23869e+00 5.00000e+00 1.79564e-04 1.86750e-02 2.98803e-01 4.41038e-01 7.05397e-01 6.03734e-01 3.36410e-02 4.11444e-02 2.64954e-03 7.94135e-05
5.25628e+00 5.00000e+00 2.17655e-04 2.18958e-02 4.14380e-01 5.77153e-01 8.04221e-01 5.70856e-01 3.35330e-02 4.98256e-02 3.28041e-03 1.01884e-04
5.27386e+00 5.00000e+00 2.63375e-04 2.66786e-02 5.73314e-01 7.61453e-01 9.06620e-01 5.39439e-01 3.32274e-02 6.10627e-02 4.12713e-03 1.32909e-04
5.29145e+00 5.00000e+00 3.19210e-04 3.39777e-02 7.87103e-01 1.00385e+00 1.00944e+00 5.09085e-01 3.28341e-02 7.55124e-02 5.25297e-03 1.75242e-04
5.30904e+00 5.00000e+00 3.89246e-04 4.52349e-02 1.06858e+00 1.31301e+00 1.10905e+00 4.79391e-01 3.24728e-02 9.39450e-02 6.73492e-03 2.32243e-04
5.32663e+00 5.00000e+00 4.79833e-04 6.25456e-02 1.43048e+00 1.69309e+00 1.20155e+00 4.49588e-01 3.23116e-02 1.17156e-01 8.65860e-03 3.07812e-04
5.34422e+00 5.00000e+00 6.00347e-04 8.87914e-02 1.88357e+00 2.13920e+00 1.28228e+00 4.18725e-01 3.25469e-02 1.45815e-01 1.11076e-02 4.06282e-04
5.36180e+00 5.00000e+00 7.63974e-04 1.27614e-01 2.43560e+00 2.63358e+00 1.34520e+00 3.86191e-01 3.33467e-02 1.80280e-01 1.41493e-02 5.32067e-04
5.37939e+00 5.00000e+00 9.87802e-04 1.83045e-01 3.09062e+00 3.14273e+00 1.38299e+00 3.51824e-01 3.48319e-02 2.20338e-01 1.78106e-02 6.89018e-04
5.39698e+00 5.00000e+00 1.29135e-03 2.58520e-01 3.84978e+00 3.61770e+00 1.38823e+00 3.16002e-01 3.70234e-02 2.64883e-01 2.20439e-02 8.79342e-04
5.41457e+00 5.00000e+00 1.69343e-03 3.55455e-01 4.72114e+00 4.00507e+00 1.35672e+00 2.79838e-01 3.97859e-02 3.12026e-01 2.67263e-02 1.10339e-03
5.43216e+00 5.00000e+00 2.21316e-03 4.74044e-01 5.76857e+00 4.29088e+00 1.29632e+00 2.45629e-01 4.29910e-02 3.61766e-01 3.18860e-02 1.36649e-03
5.44974e+00 5.00000e+00 2.86837e-03 6.13395e-01 7.10982e+00 4.49072e+00 1.21914e+00 2.15204e-01 4.65076e-02 4.15668e-01 3.76949e-02 1.67918e-03
5.46733e+00 5.00000e+00 3.67165e-03 7.70989e-01 8.89752e+00 4.62930e+00 1.13538e+00 1.89383e-01 5.01718e-02 4.75812e-01 4.43878e-02 2.05484e-03
5.48492e+00 5.00000e+00 4.62694e-03 9.42604e-01 1.13031e+01 4.73156e+00 1.05237e+00 1.68229e-01 5.38186e-02 5.44409e-01 5.22291e-02 2.50853e-03
5.50251e+00 5.00000e+00 5.72521e-03 1.12220e+00 1.44876e+01 4.81577e+00 9.74450e-01 1.51329e-01 5.72951e-02 6.23248e-01 6.14524e-02 3.05491e-03
5.52010e+00 5.00000e+00 6.94550e-03 1.30326e+00 1.85879e+01 4.89544e+00 9.04313e-01 1.38049e-01 6.05485e-02 7.13993e-01 7.22803e-02 3.70947e-03
5.53768e+00 5.00000e+00 8.26622e-03 1.48188e+00 2.37527e+01 4.98474e+00 8.44198e-01 1.27703e-01 6.37846e-02 8.19651e-01 8.50792e-02 4.49618e-03
5.55527e+00 5.00000e+00 9.66156e-03 1.65486e+00 3.00982e+01 5.08334e+00 7.93647e-01 1.19578e-01 6.72476e-02 9.42616e-01 1.00162e-01 5.44165e-03
5.57286e+00 5.00000e+00 1.10998e-02 1.81878e+00 3.76850e+01 5.17983e+00 7.50657e-01 1.13054e-01 7.11307e-02 1.08408e+00 1.17715e-01 6.57292e-03
5.59045e+00 5.00000e+00 1.25435e-02 1.96966e+00 4.65036e+01 5.25786e+00 7.12863e-01 1.07649e-01 7.55474e-02 1.24387e+00 1.37764e-01 7.91666e-03
5.60804e+00 5.00000e+00 1.39509e-02 2.10287e+00 5.64576e+01 5.30076e+00 6.78156e-01 1.03024e-01 8.05200e-02 1.42030e+00 1.60147e-01 9.49839e-03
5.62562e+00 5.00000e+00 1.52879e-02 2.21416e+00 6.73943e+01 5.29764e+00 6.44627e-01 9.89969e-02 8.58998e-02 1.61097e+00 1.84600e-01 1.13437e-02
5.64321e+00 5.00000e+00 1.65379e-02 2.30022e+00 7.91479e+01 5.24691e+00 6.11023e-01 9.55485e-02 9.13782e-02 1.81377e+00 2.10871e-01 1.34846e-02
5.66080e+00 5.00000e+00 1.76959e-02 2.35765e+00 9.15051e+01 5.15155e+00 5.77170e-01 9.27755e-02 9.65970e-02 2.02622e+00 2.38653e-01 1.59582e-02
5.67839e+00 5.00000e+00 1.87694e-02 2.38287e+00 1.04197e+02 5.01745e+00 5.43739e-01 9.08593e-02 1.01221e-01 2.24524e+00 2.67560e-01 1.88084e-02
5.69598e+00 5.00000e+00 1.97801e-02 2.37247e+00 1.16888e+02 4.85242e+00 5.12002e-01 9.00311e-02 1.05030e-01 2.46694e+00 2.97108e-01 2.20857e-02
5.71356e+00 5.00000e+00 2.07679e-02 2.32463e+00 1.29192e+02 4.66638e+00 4.83721e-01 9.05249e-02 1.08056e-01 2.68685e+00 3.26750e-01 2.58506e-02
5.73115e+00 5.00000e+00 2.18113e-02 2.24391e+00 1.40834e+02 4.47213e+00 4.61648e-01 9.26416e-02 1.10938e-01 2.90301e+00 3.56256e-01 3.02005e-02
5.74874e+00 5.00000e+00 2.30227e-02 2.13833e+00 1.51630e+02 4.28513e+00 4.47632e-01 9.66580e-02 1.14698e-01 3.11528e+00 3.85650e-01 3.52709e-02
