Coefficients order= 30 center=CT2077:180
Observation time
          B0 angle & Nmax:        0           30





Max Harmonic Order: 30              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   21   10       -0.6593854680        0.1310082004
   21   11        0.0083531231        0.1653517929
   21   12       -0.2064993296        0.0817526140
   21   13        0.2075217684       -0.0959103547
   21   14       -0.0443928109       -0.2358783689
   21   15       -0.0872887770       -0.5544210486
   21   16        0.2340664131        0.6590341640
   21   17       -0.2868228062       -0.3201043274
   21   18        0.0419209092       -0.3282130838
   21   19       -0.1726432862        0.0863277739
   21   20       -0.0223020458        0.0703833096
   21   21        0.1640963526        0.0343636146
   22    0       -0.0542940893        0.0000000000
   22    1       -0.1271381499       -0.1478883470
   22    2       -0.2188263533        0.1258768900
   22    3        0.0803541787        0.2837466565
   22    4       -0.0869671821        0.3062632248
   22    5        0.0411746438       -0.0293998799
   22    6        0.0782034275        0.0641266831
   22    7        0.1031787879       -0.1439244186
   22    8       -0.3012740065       -0.1646797231
   22    9       -0.0941218823       -0.0873174793
   22   10       -0.3653006260        0.1796032035
   22   11        0.1492207961        0.2172482514
   22   12        0.3710028266        0.0697436379
   22   13        0.0767650621       -0.5001169798
   22   14        0.0502911032        0.0377342862
   22   15        0.1092664101       -0.1271423841
   22   16        0.2900572603        0.5112392409
   22   17       -0.0236829286        0.1874862229
   22   18        0.0305870349       -0.1613349264
   22   19        0.0026408141        0.0680550924
   22   20        0.0502595380        0.2107246575
   22   21       -0.0534413947        0.1284254949
   22   22       -0.0352247130       -0.3896168336
   23    0       -0.0283445402        0.0000000000
   23    1        0.1493814684        0.1062437117
   23    2       -0.1885755173        0.0321912633
   23    3        0.3018023524        0.0360822654
   23    4        0.0989520901        0.0715261411
   23    5        0.4433133347       -0.2560711134
   23    6       -0.0086773854       -0.2287965242
   23    7        0.1119728551       -0.0813485469
   23    8        0.0583900059       -0.1157311152
   23    9       -0.1388376661       -0.0968455626
   23   10        0.2209067817        0.1069095126
   23   11        0.3087984611        0.1893843324
   23   12        0.0007343746       -0.0068810069
   23   13        0.1207584641       -0.3217687432
   23   14       -0.2391952571       -0.0537607278
   23   15       -0.2044886233        0.0409516003
   23   16        0.2210909121       -0.0436953628
   23   17       -0.2093811339        0.2581800170
   23   18       -0.0590970058       -0.1241870328
   23   19       -0.1367445268       -0.0499934603
   23   20       -0.3373982346        0.0572772568
   23   21        0.0342387574        0.1397289657
   23   22       -0.2626975195       -0.1519124295
   23   23       -0.1567866612       -0.2573314595
   24    0        0.1147647857        0.0000000000
   24    1       -0.0718626756        0.1191421190
   24    2        0.0812742487       -0.0202318698
   24    3       -0.0244860533       -0.0831494920
   24    4       -0.0858589692        0.0905049105
   24    5        0.3227632447       -0.0757096667
   24    6       -0.2024657188       -0.2225847032
   24    7       -0.0480145588       -0.2242779864
   24    8       -0.0594766417        0.2664997004
   24    9        0.2072166668       -0.0773806075
   24   10        0.3190663804        0.2688091515
   24   11        0.2012641099        0.0706039356
   24   12       -0.0617826185       -0.2193184028
   24   13       -0.1059392138       -0.1961095139
   24   14       -0.0532308058       -0.0749763769
   24   15       -0.2553952950        0.2649994697
   24   16        0.0457139650       -0.0425533771
   24   17       -0.1198690109        0.0247223303
   24   18       -0.0627046544       -0.4424453343
   24   19       -0.0107358359        0.3835061397
   24   20        0.0597811155        0.5105369904
   24   21        0.0921117965       -0.0899667930
   24   22       -0.1028788733        0.0637904523
   24   23        0.0273305610        0.1709020466
   24   24       -0.1664007624        0.1325999397
   25    0        0.0407525192        0.0000000000
   25    1        0.1560566239        0.1286646173
   25    2        0.1140019877        0.1100350470
   25    3       -0.2982688780        0.1615179890
   25    4       -0.2297429093        0.1133905687
   25    5       -0.1407976841        0.0046476248
   25    6        0.1138842619        0.0655492522
   25    7       -0.1926932750        0.0572867658
   25    8       -0.0856395057        0.3303028125
   25    9       -0.0274159047        0.1075363681
   25   10        0.0712804058       -0.1015499881
   25   11        0.0801694949       -0.1449078187
   25   12       -0.1021474408        0.1319265496
   25   13       -0.0621665778       -0.0343126195
   25   14        0.2667769725        0.1191121895
   25   15       -0.1188502141        0.1635903500
   25   16        0.0642451479       -0.2474630947
   25   17        0.1445619962       -0.0140873118
   25   18       -0.2039596908       -0.1815062647
   25   19        0.0847082006        0.2803106032
   25   20       -0.1162082115        0.2863309018
   25   21        0.4009653262       -0.0316535833
   25   22        0.1899026578       -0.0313309718
   25   23       -0.1789938825        0.1531539636
   25   24        0.1016903855        0.1188427453
   25   25        0.0237596349       -0.0332797096
   26    0       -0.1184875486        0.0000000000
   26    1       -0.0552019134       -0.2032765315
   26    2        0.0815353086       -0.0182589040
   26    3       -0.0310046193        0.0583930259
   26    4        0.0288662915       -0.0420504275
   26    5        0.1098500287        0.2016193716
   26    6        0.0076653130       -0.0647179918
   26    7        0.0669411536       -0.0485581570
   26    8        0.1049278951       -0.2245680810
   26    9        0.0782049849       -0.0820974481
   26   10       -0.0227205633       -0.2338039470
   26   11       -0.2560774189       -0.1545357047
   26   12       -0.0211520496        0.2061603173
   26   13       -0.3085742596        0.4151455690
   26   14       -0.0499212800        0.1193071108
   26   15        0.1455302160        0.1417165832
   26   16        0.2526191244       -0.3279228688
   26   17        0.1134652837       -0.0889941873
   26   18       -0.1586477557       -0.1605696012
   26   19        0.1280419595        0.2372097320
   26   20        0.2202806393       -0.0154062953
   26   21       -0.3237529522       -0.1264539175
   26   22       -0.0378959464       -0.1672272389
   26   23       -0.1045444337        0.0099248909
   26   24       -0.1963327826        0.0299617889
