XRT filters optically thin plasma response: [log K] [log cm-3] [cm^5/10^26] [cm^5/10^26]
0 0.0 2 1 2
200 14
0.0
l10T l10ne Ti-poly Al-poly
7.75376e+00 5.00000e+00 2.60017e+00 3.95688e+00
7.77135e+00 5.00000e+00 2.55058e+00 3.88240e+00
7.78894e+00 5.00000e+00 2.50312e+00 3.81109e+00
7.80653e+00 5.00000e+00 2.45758e+00 3.74262e+00
7.82412e+00 5.00000e+00 2.41400e+00 3.67708e+00
7.84170e+00 5.00000e+00 2.37219e+00 3.61417e+00
7.85929e+00 5.00000e+00 2.33205e+00 3.55375e+00
7.87688e+00 5.00000e+00 2.29347e+00 3.49567e+00
7.89447e+00 5.00000e+00 2.25634e+00 3.43975e+00
7.91206e+00 5.00000e+00 2.22055e+00 3.38585e+00
7.92964e+00 5.00000e+00 2.18614e+00 3.33401e+00
7.94723e+00 5.00000e+00 2.15317e+00 3.28431e+00
7.96482e+00 5.00000e+00 2.12164e+00 3.23675e+00
7.98241e+00 5.00000e+00 2.09154e+00 3.19130e+00
8.00000e+00 5.00000e+00 2.06281e+00 3.14787e+00
4.50000e+00 5.53846e+00 1.39641e-11 2.08389e-09
4.51758e+00 5.53846e+00 3.31475e-11 4.61498e-09
4.53517e+00 5.53846e+00 7.69815e-11 1.00342e-08
4.55276e+00 5.53846e+00 1.75133e-10 2.14384e-08
4.57035e+00 5.53846e+00 3.89793e-10 4.49363e-08
4.58793e+00 5.53846e+00 8.47373e-10 9.22371e-08
4.60552e+00 5.53846e+00 1.79960e-09 1.85397e-07
4.62311e+00 5.53846e+00 3.72602e-09 3.64206e-07
4.64070e+00 5.53846e+00 7.51631e-09 6.98689e-07
4.65829e+00 5.53846e+00 1.47719e-08 1.30876e-06
4.67587e+00 5.53846e+00 2.83177e-08 2.39632e-06
4.69346e+00 5.53846e+00 5.30520e-08 4.29660e-06
4.71105e+00 5.53846e+00 9.73659e-08 7.56074e-06
4.72864e+00 5.53846e+00 1.74885e-07 1.30448e-05
4.74623e+00 5.53846e+00 3.06591e-07 2.20031e-05
4.76381e+00 5.53846e+00 5.23183e-07 3.61805e-05
4.78140e+00 5.53846e+00 8.66727e-07 5.78366e-05
4.79899e+00 5.53846e+00 1.39044e-06 8.96436e-05
4.81658e+00 5.53846e+00 2.15480e-06 1.34364e-04
4.83417e+00 5.53846e+00 3.21761e-06 1.94260e-04
4.85175e+00 5.53846e+00 4.61854e-06 2.70220e-04
4.86934e+00 5.53846e+00 6.35750e-06 3.60746e-04
4.88693e+00 5.53846e+00 8.37293e-06 4.61092e-04
4.90452e+00 5.53846e+00 1.05269e-05 5.62931e-04
4.92211e+00 5.53846e+00 1.26455e-05 6.56959e-04
4.93969e+00 5.53846e+00 1.46100e-05 7.37712e-04
4.95728e+00 5.53846e+00 1.63546e-05 8.02926e-04
4.97487e+00 5.53846e+00 1.78697e-05 8.53356e-04
4.99246e+00 5.53846e+00 1.92007e-05 8.92309e-04
5.01005e+00 5.53846e+00 2.04357e-05 9.24775e-04
5.02763e+00 5.53846e+00 2.16341e-05 9.54071e-04
5.04522e+00 5.53846e+00 2.28210e-05 9.81802e-04
5.06281e+00 5.53846e+00 2.40351e-05 1.01006e-03
5.08040e+00 5.53846e+00 2.53356e-05 1.04160e-03
5.09799e+00 5.53846e+00 2.68108e-05 1.08001e-03
5.11557e+00 5.53846e+00 2.85957e-05 1.13015e-03
5.13316e+00 5.53846e+00 3.08587e-05 1.19762e-03
5.15075e+00 5.53846e+00 3.38627e-05 1.29071e-03
5.16834e+00 5.53846e+00 3.79852e-05 1.42067e-03
5.18592e+00 5.53846e+00 4.37597e-05 1.60258e-03
5.20351e+00 5.53846e+00 5.19228e-05 1.85582e-03
5.22110e+00 5.53846e+00 6.34305e-05 2.20425e-03
5.23869e+00 5.53846e+00 7.95890e-05 2.67988e-03
5.25628e+00 5.53846e+00 1.02108e-04 3.32370e-03
5.27386e+00 5.53846e+00 1.33179e-04 4.18713e-03
5.29145e+00 5.53846e+00 1.75550e-04 5.33372e-03
5.30904e+00 5.53846e+00 2.32565e-04 6.84035e-03
5.32663e+00 5.53846e+00 3.08101e-04 8.79165e-03
5.34422e+00 5.53846e+00 4.06460e-04 1.12690e-02
5.36180e+00 5.53846e+00 5.32010e-04 1.43359e-02
5.37939e+00 5.53846e+00 6.88539e-04 1.80137e-02
5.39698e+00 5.53846e+00 8.78162e-04 2.22475e-02
5.41457e+00 5.53846e+00 1.10109e-03 2.69061e-02
5.43216e+00 5.53846e+00 1.36245e-03 3.20119e-02
5.44974e+00 5.53846e+00 1.67247e-03 3.77306e-02
5.46733e+00 5.53846e+00 2.04406e-03 4.42890e-02
