Coefficients order=120 Central=C   0:180
Observation time
          B0 angle & Nmax:        0          120





Max Harmonic Order:120              Units: Gauss
 
  l   m      g(uT)      h(uT)
 
   28   16        0.4253140859        1.1586263962
   28   17       -0.2673704384       -0.2247472549
   28   18       -0.6018959175        0.7029670680
   28   19       -0.2488248255        0.0108933960
   28   20       -0.6500382124       -0.3086646819
   28   21       -0.8110619874       -0.7012408076
   28   22       -0.5228380538       -1.1473346668
   28   23       -0.0264034920       -0.6569917055
   28   24        0.6486711465       -0.6262107785
   28   25        0.1624517086       -0.8723580947
   28   26        0.3831033757       -0.3599217935
   28   27        0.4527836455       -0.5382388435
   28   28        0.3229881753       -1.1705183927
   29    0       -0.4375560941        0.0000000000
   29    1        0.0599035888        0.0450011740
   29    2        0.0075292798        0.0264548665
   29    3       -0.2147999585       -0.3135797731
   29    4        0.3110530557       -0.1254876376
   29    5        0.3001254889       -0.3988795867
   29    6       -0.4353830551       -0.5563805804
   29    7        0.2644877751        0.2427835026
   29    8        0.2425822226        0.0339302320
   29    9        0.2063654781       -0.3156943728
   29   10        0.0708117557        0.7302911884
   29   11       -0.1816750436        0.2149916274
   29   12       -0.1035288428        0.4605817296
   29   13        0.6330958371        0.1695276235
   29   14       -0.5241543406       -0.1128227280
   29   15       -0.1240130948        0.6701368870
   29   16       -0.3780289931       -0.1672306857
   29   17       -0.8359885947       -0.2174146324
   29   18       -0.3165828817       -0.1204263412
   29   19       -0.0310962152       -0.2426450969
   29   20        0.3376381453        0.3277419004
   29   21        0.5884032591       -0.4406159213
   29   22       -0.1368105391        0.2192792345
   29   23        0.7112466826        0.4456786898
   29   24        0.5766328762       -0.3065200548
   29   25       -0.1248082580        0.5605430214
   29   26        0.2964633016        0.2268259322
   29   27       -0.2188104171       -0.1754459358
   29   28       -0.0625451654        0.3761603549
   29   29        0.9782185095        1.3781066929
   30    0        0.0949877807        0.0000000000
   30    1        0.3971035267       -0.3858393051
   30    2        0.6018242428        0.0029152913
   30    3        0.3864123941       -0.2926009854
   30    4       -0.3756069991       -0.1919338289
   30    5        0.2949868376       -0.1934159918
   30    6        0.1645125307       -0.1381606315
   30    7       -0.6868049247        0.4273327200
   30    8       -0.0210216260       -0.2830102135
   30    9        0.0995442845        0.3671866419
   30   10        0.3423283652        0.0105142052
