Volume averages, fluxes, etc
it year mo dy hr mn sc msc t Rho Pmin Pmax Pe Bx By Bz SWpRho SWpUx SWpUy SWpUz SWpP H2OpRho H2OpUx H2OpUy H2OpUz H2OpP
     29 2000 01 01 00 00 00 000  0.00000E+00  8.08386E+02  1.37850E-02  3.13696E-01  6.25476E-02 -3.37876E+00  4.23765E+00  3.63451E-08  9.17493E+00 -1.44790E+01 -1.54115E-02 -9.86426E-07  1.70753E-02  7.96614E+02 -1.44790E+01 -1.54115E-02 -9.86426E-07  6.38157E-02
     30 2000 01 01 00 00 00 000  0.00000E+00  8.64772E+02  1.42432E-02  3.37422E-01  6.61098E-02 -3.37725E+00  4.29726E+00  4.34558E-08  9.26074E+00 -1.36693E+01 -1.62935E-02 -1.02250E-06  1.76963E-02  8.52736E+02 -1.36693E+01 -1.62935E-02 -1.02250E-06  6.85317E-02
     31 2000 01 01 00 00 00 000  0.00000E+00  9.21135E+02  1.47337E-02  3.60576E-01  6.96401E-02 -3.37577E+00  4.35464E+00  5.12420E-08  9.34152E+00 -1.69051E+01  7.11114E-01 -1.55701E+00  1.83195E-02  9.08840E+02 -1.20930E+01 -1.03255E-01  3.15488E-01  7.32484E-02
     32 2000 01 01 00 00 00 000  0.00000E+00  9.76635E+02  1.52605E-02  3.82234E-01  7.29326E-02 -3.37422E+00  4.42054E+00  3.57473E-03  9.45858E+00 -1.82040E+01  2.19895E+00 -3.39146E+00  1.91422E-02  9.64049E+02 -1.10814E+01 -2.58197E-01  6.51226E-01  7.70870E-02
     33 2000 01 01 00 00 00 000  0.00000E+00  1.03142E+03  1.58311E-02  4.01093E-01  7.60724E-02 -3.37263E+00  4.48524E+00  1.05668E-02  9.58218E+00 -1.85452E+01  3.91979E+00 -4.66236E+00  2.00293E-02  1.01854E+03 -1.04450E+01 -4.35155E-01  8.85241E-01  8.04482E-02
     34 2000 01 01 00 00 00 000  0.00000E+00  1.08556E+03  1.64504E-02  4.16991E-01  7.91154E-02 -3.37102E+00  4.54574E+00  1.98227E-02  9.70194E+00 -1.84955E+01  5.64270E+00 -5.37187E+00  2.09289E-02  1.07239E+03 -1.00174E+01 -6.08345E-01  1.01395E+00  8.35782E-02
     35 2000 01 01 00 00 00 000  0.00000E+00  1.13909E+03  1.71214E-02  4.30548E-01  8.20882E-02 -3.36939E+00  4.60144E+00  3.02591E-02  9.81488E+00 -1.83365E+01  7.28791E+00 -5.65501E+00  2.18200E-02  1.12564E+03 -9.69759E+00 -7.64199E-01  1.05870E+00  8.65860E-02
     36 2000 01 01 00 00 00 000  0.00000E+00  1.19197E+03  1.77395E-02  4.42457E-01  8.50002E-02 -3.36774E+00  4.65260E+00  4.10679E-02  9.92092E+00 -1.82087E+01  8.82769E+00 -5.65162E+00  2.26961E-02  1.17825E+03 -9.42843E+00 -8.96415E-01  1.04468E+00  8.95118E-02
     37 2000 01 01 00 00 00 000  0.00000E+00  1.24421E+03  1.80791E-02  4.53082E-01  8.78552E-02 -3.36608E+00  4.69980E+00  5.17240E-02  1.00210E+01 -1.81712E+01  1.02597E+01 -5.48215E+00  2.35575E-02  1.23023E+03 -9.18012E+00 -1.00337E+00  9.94316E-01  9.23646E-02
     38 2000 01 01 00 00 00 000  0.00000E+00  1.29579E+03  1.84474E-02  4.62582E-01  9.06529E-02 -3.36441E+00  4.74368E+00  6.19319E-02  1.01164E+01 -1.82340E+01  1.15956E+01 -5.23692E+00  2.44072E-02  1.28155E+03 -8.93925E+00 -1.08642E+00  9.25124E-01  9.51399E-02
     39 2000 01 01 00 00 00 000  0.00000E+00  1.34667E+03  1.88450E-02  4.71029E-01  9.33922E-02 -3.36275E+00  4.78481E+00  7.15592E-02  1.02081E+01 -1.83824E+01  1.28530E+01 -4.97422E+00  2.52485E-02  1.33218E+03 -8.70166E+00 -1.14862E+00  8.49426E-01  9.78296E-02
     40 2000 01 01 00 00 00 000  0.00000E+00  1.39684E+03  1.92761E-02  4.78468E-01  9.60718E-02 -3.36109E+00  4.82363E+00  8.05774E-02  1.02967E+01 -1.85928E+01  1.40491E+01 -4.72531E+00  2.60836E-02  1.38211E+03 -8.46764E+00 -1.19369E+00  7.74898E-01  1.00427E-01
     41 2000 01 01 00 00 00 000  0.00000E+00  1.44630E+03  1.97440E-02  4.84952E-01  9.86930E-02 -3.35945E+00  4.86047E+00  8.90143E-02  1.03829E+01 -1.88427E+01  1.51982E+01 -4.50269E+00  2.69139E-02  1.43133E+03 -8.23914E+00 -1.22533E+00  7.05646E-01  1.02929E-01
     42 2000 01 01 00 00 00 000  0.00000E+00  1.49505E+03  2.00315E-02  4.91481E-01  1.01256E-01 -3.35782E+00  4.89556E+00  9.69208E-02  1.04669E+01 -1.91150E+01  1.63109E+01 -4.30787E+00  2.77392E-02  1.47984E+03 -8.01841E+00 -1.24675E+00  6.43332E-01  1.05335E-01
     43 2000 01 01 00 00 00 000  0.00000E+00  1.54307E+03  2.02905E-02  4.98071E-01  1.03762E-01 -3.35621E+00  4.92905E+00  1.04352E-01  1.05488E+01 -1.93980E+01  1.73945E+01 -4.13707E+00  2.85588E-02  1.52764E+03 -7.80716E+00 -1.26056E+00  5.88118E-01  1.07648E-01
     44 2000 01 01 00 00 00 000  0.00000E+00  1.59037E+03  2.05824E-02  5.03825E-01  1.06213E-01 -3.35461E+00  4.96105E+00  1.11360E-01  1.06286E+01 -1.96854E+01  1.84535E+01 -3.98494E+00  2.93715E-02  1.57471E+03 -7.60636E+00 -1.26872E+00  5.39378E-01  1.09870E-01
     45 2000 01 01 00 00 00 000  0.00000E+00  1.63694E+03  2.09106E-02  5.08848E-01  1.08611E-01 -3.35302E+00  4.99165E+00  1.17987E-01  1.07063E+01 -1.99739E+01  1.94908E+01 -3.84632E+00  3.01762E-02  1.62106E+03 -7.41621E+00 -1.27266E+00  4.96200E-01  1.12006E-01
     46 2000 01 01 00 00 00 000  0.00000E+00  1.68280E+03  2.12770E-02  5.13260E-01  1.10957E-01 -3.35145E+00  5.02091E+00  1.24267E-01  1.07820E+01 -2.02626E+01  2.05083E+01 -3.71711E+00  3.09714E-02  1.66670E+03 -7.23646E+00 -1.27339E+00  4.57634E-01  1.14062E-01
     47 2000 01 01 00 00 00 000  0.00000E+00  1.72794E+03  2.16833E-02  5.17163E-01  1.13254E-01 -3.34988E+00  5.04890E+00  1.30230E-01  1.08556E+01 -2.05517E+01  2.15073E+01 -3.59433E+00  3.17564E-02  1.71164E+03 -7.06643E+00 -1.27158E+00  4.22848E-01  1.16041E-01
     48 2000 01 01 00 00 00 000  0.00000E+00  1.77239E+03  2.21313E-02  5.20640E-01  1.15503E-01 -3.34833E+00  5.07569E+00  1.35898E-01  1.09272E+01 -2.08419E+01  2.24887E+01 -3.47609E+00  3.25301E-02  1.75588E+03 -6.90535E+00 -1.26774E+00  3.91185E-01  1.17949E-01
     49 2000 01 01 00 00 00 000  0.00000E+00  1.81615E+03  2.26224E-02  5.23861E-01  1.17707E-01 -3.34678E+00  5.10132E+00  1.41290E-01  1.09969E+01 -2.11342E+01  2.34534E+01 -3.36130E+00  3.32920E-02  1.79943E+03 -6.75244E+00 -1.26222E+00  3.62159E-01  1.19789E-01
     50 2000 01 01 00 00 00 000  0.00000E+00  1.85922E+03  2.31582E-02  5.27286E-01  1.19866E-01 -3.34525E+00  5.12587E+00  1.46421E-01  1.10646E+01 -2.14295E+01  2.44022E+01 -3.24945E+00  3.40417E-02  1.84230E+03 -6.60689E+00 -1.25529E+00  3.35422E-01  1.21565E-01
     51 2000 01 01 00 00 00 000  0.00000E+00  1.90162E+03  2.37399E-02  5.30479E-01  1.21983E-01 -3.34374E+00  5.14938E+00  1.51305E-01  1.11305E+01 -2.17284E+01  2.53358E+01 -3.14043E+00  3.47787E-02  1.88451E+03 -6.46804E+00 -1.24717E+00  3.10727E-01  1.23280E-01
     52 2000 01 01 00 00 00 000  0.00000E+00  1.94337E+03  2.43659E-02  5.33460E-01  1.24060E-01 -3.34223E+00  5.17192E+00  1.55955E-01  1.11947E+01 -2.20313E+01  2.62551E+01 -3.03426E+00  3.55031E-02  1.92606E+03 -6.33530E+00 -1.23805E+00  2.87888E-01  1.24937E-01
     53 2000 01 01 00 00 00 000  0.00000E+00  1.98448E+03  2.49644E-02  5.36245E-01  1.26097E-01 -3.34075E+00  5.19353E+00  1.60382E-01  1.12572E+01 -2.23383E+01  2.71609E+01 -2.93104E+00  3.62147E-02  1.96698E+03 -6.20814E+00 -1.22811E+00  2.66762E-01  1.26539E-01
     54 2000 01 01 00 00 00 000  0.00000E+00  2.02495E+03  2.56080E-02  5.38850E-01  1.28095E-01 -3.33928E+00  5.21427E+00  1.64597E-01  1.13180E+01 -2.26496E+01  2.80540E+01 -2.83084E+00  3.69136E-02  2.00727E+03 -6.08617E+00 -1.21750E+00  2.47222E-01  1.28088E-01
     55 2000 01 01 00 00 00 000  0.00000E+00  2.06481E+03  2.61847E-02  5.41285E-01  1.30057E-01 -3.33783E+00  5.23418E+00  1.68610E-01  1.13774E+01 -2.29650E+01  2.89350E+01 -2.73365E+00  3.76000E-02  2.04695E+03 -5.96904E+00 -1.20634E+00  2.29159E-01  1.29586E-01
     56 2000 01 01 00 00 00 000  0.00000E+00  2.10407E+03  2.67764E-02  5.43561E-01  1.31983E-01 -3.33639E+00  5.25331E+00  1.72431E-01  1.14353E+01 -2.32845E+01  2.98046E+01 -2.63945E+00  3.82739E-02  2.08603E+03 -5.85644E+00 -1.19477E+00  2.12467E-01  1.31035E-01
     57 2000 01 01 00 00 00 000  0.00000E+00  2.14274E+03  2.74092E-02  5.45689E-01  1.33874E-01 -3.33498E+00  5.27169E+00  1.76071E-01  1.14919E+01 -2.36080E+01  3.06635E+01 -2.54816E+00  3.89355E-02  2.12452E+03 -5.74810E+00 -1.18288E+00  1.97047E-01  1.32437E-01
     58 2000 01 01 00 00 00 000  0.00000E+00  2.18083E+03  2.80484E-02  5.47676E-01  1.35732E-01 -3.33358E+00  5.28937E+00  1.79538E-01  1.15471E+01 -2.39355E+01  3.15123E+01 -2.45969E+00  3.95851E-02  2.16244E+03 -5.64378E+00 -1.17076E+00  1.82804E-01  1.33795E-01
     59 2000 01 01 00 00 00 000  0.00000E+00  2.21836E+03  2.85732E-02  5.49533E-01  1.37557E-01 -3.33220E+00  5.30638E+00  1.82840E-01  1.16012E+01 -2.42668E+01  3.23514E+01 -2.37393E+00  4.02229E-02  2.19980E+03 -5.54326E+00 -1.15848E+00  1.69644E-01  1.35109E-01
     60 2000 01 01 00 00 00 000  0.00000E+00  2.25534E+03  2.91337E-02  5.51265E-01  1.39351E-01 -3.33083E+00  5.32276E+00  1.85987E-01  1.16541E+01 -2.46018E+01  3.31814E+01 -2.29074E+00  4.08493E-02  2.23662E+03 -5.44633E+00 -1.14611E+00  1.57483E-01  1.36382E-01
