R R R Mp/cc km/s km/s km/s nT nT nT nPa uA/m2 uA/m2 uA/m2
       352  6.0000000000E+01 -2  3 12
     116       1
  6.3780000000E+06  2.5000000000E+00  1.6666700000E+00
x y z Rho Ux Uy Uz Bx By Bz P jx jy jz xSI r g
 -1.5000000000E+01  7.0000000000E+00  5.0000000000E+00  4.9629914204E+00 -3.9860669830E+02  4.2612027060E-01  5.1183091426E-02  2.5987697487E+00  1.4916819962E+00  1.0407100036E-01  1.1512370961E-02  1.8851743640E-05  2.3161882210E-05 -1.5371163971E-05
 -9.0000000000E+00  5.0000000000E+00  3.0000000000E+00  4.2565649275E+00 -2.0061370020E+02 -5.3059802857E+00  1.7053262795E+01 -6.2682248509E-01  6.1042451023E+00  1.7747997186E+01  1.5869487567E-01  3.0121438477E-04  1.1269885493E-03 -4.4658087537E-04
 -3.0000000000E+00  3.0000000000E+00  1.0000000000E+00  8.7972071981E+00  1.7101061434E+01  1.3575246325E+00 -2.1516687742E+00  5.8524079663E+01  1.3852178370E+02  3.3900837879E+02  1.5361836510E-01 -4.5471271625E-05  3.6716087974E-04 -8.9591718725E-05
 -1.3000000000E+01  7.0000000000E+00  5.0000000000E+00  4.8839864326E+00 -3.9405733124E+02  1.6742759567E+00 -1.5709600031E+00  5.8757888792E+00  6.5286321232E-01  2.5175923527E+00  1.9379805150E-02  5.3640029354E-05  1.3332860516E-04 -2.4258511498E-05
 -7.0000000000E+00  5.0000000000E+00  1.0000000000E+00  4.9092443816E+00 -5.0232431102E+01  4.9246506469E+00  5.2900384832E+01 -2.5349108927E+01  2.6814346689E+01  3.3122421607E+01  1.6348485210E-01  2.8136369916E-04  7.5301635557E-04 -2.9304681246E-04
 -1.0000000000E+00  3.0000000000E+00 -5.6326356862E+00  7.7775467871E+00 -4.1268568971E+01  2.8621756165E+00  2.7755575616E-17  2.3088212593E+00  1.4040081888E+02 -1.5580698667E+02  1.7169937532E-01  4.5991686561E-05  6.0841512113E-06 -5.6651853154E-08
 -1.1000000000E+01  7.0000000000E+00  3.0000000000E+00  4.6204369038E+00 -3.5291804364E+02  2.2843723976E+00  7.9754296703E+00  1.9795724672E+00  5.1436089274E+00  9.6356466519E+00  5.7016978913E-02  1.7949157934E-04  5.0452618887E-04 -2.9726785005E-04
 -5.0000000000E+00  5.0000000000E+00  1.0000000000E+00  6.3450445051E+00  7.6845603816E-01 -7.5060621716E+00  1.3988324325E+01 -7.8723765801E+00  4.3540838590E+01  6.5141030791E+01  1.7510184394E-01  1.6339097125E-04  6.3120039192E-04 -1.3544708707E-04
 -1.8000000000E+01  1.0000000000E+01  2.0000000000E+00  4.9978873087E+00 -3.9989688974E+02  3.5165317660E-01  8.7543963893E-03 -1.6928104737E+00  3.2422365889E+00 -4.6987889882E+00  7.6015030141E-03 -4.3333912431E-06  2.1227698320E-06 -1.0211708705E-05
 -1.5000000000E+01  9.0000000000E+00  5.0000000000E+00  4.9948969304E+00 -3.9973440535E+02  3.6181016823E-01  9.9549567331E-02  2.2816331730E+00  1.4386460533E+00 -2.0289380456E+00  8.4670022967E-03  4.6614424828E-06 -1.9700498921E-06 -3.8362316135E-06
 -9.0000000000E+00  7.0000000000E+00  1.0000000000E+00  4.3573643740E+00 -2.3917942567E+02  2.4748795933E+01  4.6596818451E+01 -1.2713978216E+01  1.4998961104E+01  1.3280315014E+01  1.1888255856E-01  3.1612661265E-04  6.9577742528E-04 -6.1144217478E-04
 -3.0000000000E+00  5.0000000000E+00  1.0000000000E+00  7.6885255348E+00  1.1757321266E+01 -2.6910850685E+00 -1.2787796615E+01  4.8250405352E+01  4.7228283430E+01  1.1908220053E+02  1.6214188793E-01  4.0173259439E-05  4.7091044439E-04 -9.8203083827E-05
 -1.3000000000E+01  9.0000000000E+00  1.0000000000E+00  4.9246199861E+00 -3.8933034551E+02  6.6170796829E+00  4.3348885583E+00 -2.8732677000E+00  8.5984250346E+00  2.2900412958E+00  1.8183351015E-02  4.9786250280E-05  9.3212444196E-05 -1.6550103339E-04
 -7.0000000000E+00  7.0000000000E+00  1.0000000000E+00  4.6077796668E+00 -1.4800972231E+02  5.9524739032E+00  3.9712344790E+01 -9.4413805430E+00  1.7965200509E+01  1.9972323696E+01  1.5932681919E-01  3.9276932917E-04  8.3158468007E-04 -6.4299327122E-04
 -1.0000000000E+00  5.0000000000E+00 -5.9336981200E+00  6.9690160592E+00 -7.6244356754E+01  3.4235426641E+00  0.0000000000E+00  3.2349623585E+00  9.3292200840E+01 -4.9234679521E+01  1.8060800967E-01  7.8867557679E-05 -1.5336062707E-04 -2.3463676397E-04
