Values at minimum B
       350  6.0000000000E+01 -2  0 22
      20      25
x y z Rho Ux Uy Uz BxSM BySM BzSM P rCurve xZ0 yZ0 zZ0 RhoZ0 UxZ0 UyZ0 UzZ0 BxSMZ0 BySMZ0 BzSMZ0 PZ0 rCurveZ0
  3.1732609044E+07  9.4263407827E+06 -1.5099418669E+07  1.4521415339E-20  3.8092108075E+03  5.1528166839E+03 -1.5842906889E+04  1.9183617524E-08  4.4321530733E-09  1.5659314888E-07  2.5247740568E-10  1.5735888540E+07  3.2275932841E+07  9.3831984170E+06 -1.3585456574E+07  1.4564545301E-20  3.6511179807E+03  5.2513203218E+03 -1.0834794823E+04  3.6232947809E-11 -1.0642656312E-09  1.5942084386E-07  2.5207796171E-10  1.6107237037E+07
  3.7213755471E+07  1.0864800414E+07 -1.6051919593E+07  1.3784962350E-20 -2.6557092614E+04  1.1356070853E+04 -2.0408661590E+04  1.7401355114E-09 -7.8805264819E-10  9.9705180255E-08  2.9112063146E-10  1.8339643653E+07  3.7356403751E+07  1.0860183353E+07 -1.5723908072E+07  1.3791462369E-20 -2.6641450121E+04  1.1394771472E+04 -1.9038599558E+04 -5.0528774866E-10 -1.4631786705E-09  9.9746096044E-08  2.9138089894E-10  1.8445010840E+07
  4.2220637541E+07  1.2343930691E+07 -1.8324101367E+07  1.3015871229E-20 -6.5931598350E+04  1.9519590340E+04 -3.2879409003E+04  3.9327640845E-10 -1.5197428259E-09  6.4041674399E-08  3.2462734369E-10  2.0710664621E+07  4.2436874661E+07  1.2337168289E+07 -1.7862359569E+07  1.3024244166E-20 -6.5692622644E+04  1.9596205676E+04 -3.0664132487E+04 -1.2886940206E-09 -2.0592940581E-09  6.4057984003E-08  3.2534686564E-10  2.0862336977E+07
  4.4282966201E+07  1.4042563290E+07 -2.6489279101E+07  1.2228604550E-20 -1.5853577326E+05  1.9492409152E+04 -5.1120958136E+04  1.0378096907E-08  1.4861947935E-09  3.8054817807E-08  3.0886172170E-10  2.1417410384E+07  4.7517345571E+07  1.3814153225E+07 -2.0000811067E+07  1.2216154192E-20 -1.3106594964E+05  2.3336536757E+04 -3.6689754803E+04 -1.6740563760E-09 -2.4059965245E-09  3.9415484539E-08  3.0694446134E-10  2.3122551209E+07
  5.3254555205E+07  1.5081434557E+07 -2.0247999451E+07  1.1420934513E-20 -2.0828487657E+05  2.1554616577E+04 -2.9974062194E+04 -3.1912557636E-09 -2.8949156610E-09  2.0933496849E-08  2.4699009550E-10  2.5133620139E+07  5.2597816481E+07  1.5291138161E+07 -2.2139262565E+07  1.1350780894E-20 -2.1463803128E+05  2.0519761335E+04 -3.1325173799E+04 -1.2320511680E-09 -2.3258585937E-09  2.1552723084E-08  2.3886366112E-10  2.4970377987E+07
  5.7157218526E+07  1.7379827480E+07 -2.6204435076E+07  1.0338623564E-20 -3.0455766928E+05  1.5638029007E+04 -2.3328166957E+04  4.3746216128E-10 -1.9529378623E-09  8.6319670289E-09  1.4779603835E-10  2.5912785143E+07  5.7678287391E+07  1.6768123097E+07 -2.4277714063E+07  1.0456495608E-20 -2.9638078692E+05  1.6260684902E+04 -2.2146468555E+04 -4.1773807294E-10 -2.1159805822E-09  8.8610572366E-09  1.6011710074E-10  2.6297600200E+07
  6.2969836400E+07  1.7896049804E+07 -2.5875515981E+07  9.7063546021E-21 -3.3822515303E+05  1.0656992441E+04 -1.4555452590E+04 -5.5633377648E-11 -1.7946249289E-09  3.0141201960E-09  9.4188633787E-11  2.4864515001E+07  6.2758758301E+07  1.8245108033E+07 -2.6416165560E+07  9.6832914694E-21 -3.3994823131E+05  1.0700666574E+04 -1.4759527819E+04  8.3564819047E-11 -1.8105937924E-09  3.0119886662E-09  9.2194265300E-11  2.4922414951E+07
  1.3567845842E+08  3.9444185938E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  6.7839229211E+07  1.9722092969E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.4583940024E+08  4.2398155810E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.2919700122E+07  2.1199077905E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
  1.5600034206E+08  4.5352125682E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  7.8000171032E+07  2.2676062841E+07  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00  0.0000000000E+00
