VARIABLES="J", "I", "x", "y", "z", "rho", "ux", "uy", "uz", "bxSM", "bySM", "bzSM", "p", "rCurve", "xZ0", "yZ0", "zZ0", "rhoZ0", "uxZ0", "uyZ0", "uzZ0", "bxSMZ0", "bySMZ0", "bzSMZ0", "pZ0", "rCurveZ0"
ZONE T="STRUCTURED GRID", I=    20, J=    25, K=     1, F=POINT
AUXDATA ITER="     352"
AUXDATA TIMESIM="  6.0000000000E+01"
AUXDATA NDIM=" -2"
AUXDATA NPARAM="  0"
AUXDATA NVAR=" 22"
     1      20  1.9255365191E+07  5.7386487956E+07 -2.4236282883E+07  9.6662847994E-21 -3.2039748570E+05  2.9816695036E+04 -2.0431556827E+04  6.1209653458E-09  5.6657437237E-11  1.6296848415E-08  1.0632787927E-10  2.0810827789E+07  2.6649095753E+07  5.5235100253E+07 -1.7515644309E+07  9.9719030289E-21 -2.9051673762E+05  4.0652976339E+04 -1.5854343442E+04  2.4992892671E-09 -7.7603215826E-09  1.8005933028E-08  1.2907259471E-10  2.8522769849E+07
     2       1  5.6484263649E+06  1.7971947285E+07 -3.4000876931E+06  1.6238722899E-20  4.2108768371E+03 -3.5787796649E+02 -4.2664433729E+03 -1.0735490681E-08 -4.5657659629E-08  1.1063207369E-06  1.6030021154E-10  1.2186110872E+07  5.4687165293E+06  1.7980078606E+07 -3.5944219063E+06  1.6236804607E-20  4.2326947907E+03 -3.6279859013E+02 -4.2856638708E+03  4.9852195076E-09 -2.5590208983E-09  1.1084563080E-06  1.6019939644E-10  1.2172348533E+07
     2       2  6.2430144843E+06  2.0186022103E+07 -3.9036683152E+06  1.6060715242E-20  4.7622210101E+03 -4.1868119886E+02 -5.8441325261E+03 -9.2538193914E-10 -2.0347356573E-08  7.8001156192E-07  1.7694231527E-10  1.2059291590E+07  6.1403132960E+06  2.0188158435E+07 -4.0358421404E+06  1.6061768857E-20  4.7671282270E+03 -4.2608646010E+02 -5.8873917208E+03  5.3499819326E-09 -2.9529686163E-09  7.8044918793E-07  1.7677774206E-10  1.2026581134E+07
     2       3  7.0230012681E+06  2.2395920975E+07 -4.2035545651E+06  1.5760669639E-20  4.8978536365E+03 -3.4659354639E+02 -7.7286266983E+03 -3.2497397283E-09 -2.6869339221E-08  5.6872605988E-07  1.7890043522E-10  1.2564612421E+07  6.8119100628E+06  2.2396238264E+07 -4.4772623745E+06  1.5769080608E-20  4.9151061231E+03 -3.9498528711E+02 -7.8961341154E+03  5.2168600210E-09 -3.1824730037E-09  5.6978060415E-07  1.7849566663E-10  1.2447956007E+07
     2       4  7.8198587311E+06  2.4614420301E+07 -4.4717776232E+06  1.5441530221E-20  4.8545707172E+03 -6.5687233118E+01 -9.4730041941E+03 -4.1737017017E-09 -2.9647434580E-08  4.2634926362E-07  1.8121870426E-10  1.3162494140E+07  7.4835068295E+06  2.4604318093E+07 -4.9186826086E+06  1.5461200290E-20  4.9487071280E+03 -2.1283056797E+02 -9.8437332106E+03  5.0888960957E-09 -3.4086327985E-09  4.2812878930E-07  1.8051931525E-10  1.2933237692E+07
     2       5  8.5647129655E+06  2.6835692085E+07 -4.8013504197E+06  1.5129230876E-20  4.5665804447E+03  3.9158030017E+02 -1.1354805115E+04 -3.0251704521E-09 -2.6654066912E-08  3.2756183295E-07  1.8346572820E-10  1.3649871656E+07  8.1551035963E+06  2.6812397921E+07 -5.3601028427E+06  1.5153027236E-20  4.7535963287E+03  1.3624331769E+02 -1.1880298578E+04  4.9479777557E-09 -3.6576255814E-09  3.2941551343E-07  1.8265153637E-10  1.3380332968E+07
     2       6  9.2219793805E+06  2.9048994129E+07 -5.2474656630E+06  1.4823747945E-20  4.1138555688E+03  9.9507699868E+02 -1.3437437453E+04 -7.7396798293E-10 -2.0394455316E-08  2.5729173588E-07  1.8559420660E-10  1.4030901563E+07  8.8267003630E+06  2.9020477750E+07 -5.8015230768E+06  1.4844336984E-20  4.3040308739E+03  6.7440669207E+02 -1.4015184640E+04  4.7953629048E-09 -3.9307983140E-09  2.5855716381E-07  1.8489448241E-10  1.3802074193E+07
     2       7  9.6772137406E+06  3.1239249390E+07 -5.9857909659E+06  1.4528648227E-20  3.5506227108E+03  1.6043337481E+03 -1.5973205059E+04  2.7772536909E-09 -9.8988219546E-09  2.0618182030E-07  1.8747353655E-10  1.4283769091E+07  9.4982971298E+06  3.1228557579E+07 -6.2429433109E+06  1.4534905071E-20  3.5720078200E+03  1.4257801585E+03 -1.6258689941E+04  4.6323094470E-09 -4.2294979577E-09  2.0640816086E-07  1.8725030574E-10  1.4211293725E+07
     2       8  1.0092264947E+07  3.3432635967E+07 -6.7965969617E+06  1.4114456005E-20 -4.0804698787E+03  3.8988729728E+03 -1.7554684543E+04  5.1268714746E-09 -2.8594456519E-09  1.6719750258E-07  1.9396540551E-10  1.4940853539E+07  1.0169893897E+07  3.3436637408E+07 -6.6843635450E+06  1.4113228958E-20 -4.0358451623E+03  4.0000083839E+03 -1.7422975556E+04  4.5373793726E-09 -4.7395440104E-09  1.6718175726E-07  1.9400113543E-10  1.4960403492E+07
     2       9  1.0516550422E+07  3.5628368232E+07 -7.5903618541E+06  1.3656824979E-20 -1.5963884584E+04  7.0864329531E+03 -1.8704246596E+04  6.2668464935E-09  7.0117833408E-10  1.3702301572E-07  2.0252877894E-10  1.5779749860E+07  1.0841490663E+07  3.5644717237E+07 -7.1257837791E+06  1.3655489643E-20 -1.5529360880E+04  7.6252967426E+03 -1.8129327278E+04  4.4690638077E-09 -5.3379164142E-09  1.3709942751E-07  2.0247370046E-10  1.5847683747E+07
     2      10  1.0852945782E+07  3.7827626304E+07 -8.4919526166E+06  1.3210440717E-20 -2.9603203837E+04  1.0310280877E+04 -2.0091328026E+04  7.0302140531E-09  3.5062002210E-09  1.1324560114E-07  2.1108176293E-10  1.6570066589E+07  1.1513087430E+07  3.7852797066E+07 -7.5672040132E+06  1.3211452836E-20 -2.8322552729E+04  1.1675523781E+04 -1.8878307494E+04  4.3970384214E-09 -5.9435078208E-09  1.1364363608E-07  2.1073358404E-10  1.6724599763E+07
     2      11  1.1112619933E+07  4.0032467975E+07 -9.4725088347E+06  1.2782367801E-20 -4.4701607578E+04  1.3582247544E+04 -2.1711041008E+04  7.4141826719E-09  5.4546580718E-09  9.4207417242E-08  2.1929848601E-10  1.7213506974E+07  1.2184684197E+07  4.0060876894E+07 -8.0086242473E+06  1.2780777462E-20 -4.2531701359E+04  1.6185514726E+04 -1.9668720383E+04  4.3234914429E-09 -6.5574333247E-09  9.5080316083E-08  2.1871803029E-10  1.7593165512E+07
     2      12  1.1223318758E+07  4.2250673302E+07 -1.0613626618E+07  1.2369368567E-20 -6.1663477701E+04  1.6584197576E+04 -2.3674180344E+04  7.5640634658E-09  7.1643893369E-09  7.8608094613E-08  2.2730170453E-10  1.7691568012E+07  1.2856280964E+07  4.2268956723E+07 -8.4500444814E+06  1.2363122445E-20 -5.8281856070E+04  2.1192515602E+04 -2.0499017110E+04  4.2506111010E-09 -7.1808080200E-09  8.0189813035E-08  2.2636428333E-10  1.8455394967E+07
     2      13  1.1138605585E+07  4.4504332287E+07 -1.1958681110E+07  1.1969118269E-20 -8.0751894207E+04  1.9055860565E+04 -2.6021154269E+04  7.4940917558E-09  8.8002320132E-09  6.5452695740E-08  2.3515153023E-10  1.7965080551E+07  1.3527877730E+07  4.4477036552E+07 -8.8914647155E+06  1.1958146711E-20 -7.5707457384E+04  2.6736355089E+04 -2.1367260892E+04  4.1805856246E-09 -7.8147470011E-09  6.8097183629E-08  2.3360958729E-10  1.9313302101E+07
     2      14  1.1357537630E+07  4.6754973558E+07 -1.2882426934E+07  1.1604382992E-20 -1.0883028307E+05  2.1842106819E+04 -2.5663555410E+04  7.0068955677E-09  7.6396108464E-09  5.4839462584E-08  2.2530357020E-10  1.8754298059E+07  1.4199474497E+07  4.6685116381E+07 -9.3328849496E+06  1.1604356417E-20 -1.0252499146E+05  3.1015596719E+04 -2.0293406557E+04  4.1526139780E-09 -8.1281289049E-09  5.7633176929E-08  2.2498556707E-10  2.0904569191E+07
     2      15  1.1544016624E+07  4.9042550293E+07 -1.3798347308E+07  1.1242010741E-20 -1.3942269835E+05  2.4445122438E+04 -2.5033867272E+04  6.5630081144E-09  6.3075186751E-09  4.5928357878E-08  2.1264933970E-10  1.9396023899E+07  1.4871071264E+07  4.8893196210E+07 -9.7743051837E+06  1.1263161001E-20 -1.3150367425E+05  3.5015572261E+04 -1.8969085247E+04  4.1309727799E-09 -8.3834041082E-09  4.8782573997E-08  2.1387692067E-10  2.2553178484E+07
