Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E Pmin Pmax
     85  8.56756E+00  4.96743E-002  5.00024E+000 -3.34491E-015 -1.08432E-034 -2.59576E-022  1.83132E-006 -2.78637E-019  9.97615E-001  6.90242E-010  6.90292E-003  4.65081E+002
     86  8.61726E+00  4.96976E-002  5.00024E+000 -3.34491E-015 -1.80720E-035 -2.62742E-022  1.83670E-006 -4.79874E-019  9.97605E-001  6.90297E-010  6.90292E-003  4.67310E+002
     87  8.66698E+00  4.97193E-002  5.00024E+000 -3.34491E-015  5.42161E-035 -2.66050E-022  1.84189E-006 -3.40556E-019  9.97596E-001  6.90352E-010  6.90293E-003  4.69203E+002
     88  8.71672E+00  4.97393E-002  5.00024E+000 -3.34491E-015 -9.03601E-035 -2.69501E-022  1.84695E-006  0.00000E+000  9.97586E-001  6.90406E-010  6.90293E-003  4.70777E+002
     89  8.76648E+00  4.97578E-002  5.00024E+000 -3.34491E-015  2.34936E-034 -2.73096E-022  1.85193E-006  3.56036E-019  9.97577E-001  6.90459E-010  6.90293E-003  4.72047E+002
     90  8.81625E+00  4.97750E-002  5.00024E+000 -3.34491E-015  9.03601E-035 -2.76834E-022  1.85686E-006 -9.28789E-020  9.97568E-001  6.90513E-010  6.90293E-003  4.73031E+002
     91  8.84123E+00  2.49733E-002  5.00023E+000 -3.34491E-015 -1.35540E-035 -2.76886E-022  1.84653E-006 -4.64395E-020  9.97521E-001  6.90309E-010  6.90294E-003  4.78592E+002
     92  8.87348E+00  3.22506E-002  5.00023E+000 -3.34491E-015 -1.80720E-035 -2.79941E-022  1.84864E-006 -3.09596E-019  9.97507E-001  6.90314E-010  6.90294E-003  4.96814E+002
     93  8.90581E+00  3.23386E-002  5.00023E+000 -3.34491E-015  5.42161E-035 -2.83263E-022  1.85066E-006 -1.36222E-018  9.97493E-001  6.90318E-010  6.90294E-003  5.07135E+002
     94  8.93822E+00  3.24014E-002  5.00023E+000 -3.34491E-015 -9.48782E-035 -2.86756E-022  1.85255E-006  6.50152E-019  9.97479E-001  6.90321E-010  6.90294E-003  5.12149E+002
     95  8.97066E+00  3.24439E-002  5.00023E+000 -3.34491E-015  7.22881E-035 -2.90379E-022  1.85433E-006 -1.28482E-018  9.97466E-001  6.90323E-010  6.90294E-003  5.13485E+002
     96  9.00000E+00  2.93401E-002  5.00024E+000 -3.34491E-015  2.71080E-035 -2.93753E-022  1.85587E-006 -7.89471E-019  9.97454E-001  6.90325E-010  6.90295E-003  5.12266E+002
