Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz Pe E Pmin Pmax
     40  0.00000E+00  0.00000E+000  1.20885E+006 -2.67338E-014 -8.95548E-021  8.00749E-019 -1.51889E+001  8.39154E+000 -8.51002E+000  4.80399E-002  5.57146E-009  1.00000E-002  1.87206E+000
     41  0.00000E+00  0.00000E+000  1.20885E+006 -2.67319E-014 -7.10633E-021  7.94687E-019 -1.51876E+001  8.39100E+000 -8.51033E+000  4.80392E-002  5.57106E-009  1.00000E-002  2.01833E+000
     42  0.00000E+00  0.00000E+000  1.20885E+006 -2.67299E-014 -4.19320E-021  7.87475E-019 -1.51864E+001  8.39043E+000 -8.51070E+000  4.80384E-002  5.57062E-009  1.00000E-002  2.16167E+000
     43  0.00000E+00  0.00000E+000  1.20885E+006 -2.67278E-014 -7.60232E-023  7.79358E-019 -1.51851E+001  8.38983E+000 -8.51114E+000  4.80376E-002  5.57014E-009  1.00000E-002  2.32101E+000
     44  0.00000E+00  0.00000E+000  1.20885E+006 -2.67256E-014  5.31800E-021  7.70608E-019 -1.51837E+001  8.38920E+000 -8.51166E+000  4.80368E-002  5.56963E-009  1.00000E-002  2.48993E+000
     45  0.00000E+00  0.00000E+000  1.20885E+006 -2.67233E-014  1.20560E-020  7.61547E-019 -1.51822E+001  8.38854E+000 -8.51225E+000  4.80360E-002  5.56908E-009  1.00000E-002  2.65472E+000
     46  0.00000E+00  0.00000E+000  1.20885E+006 -2.67208E-014  2.02565E-020  7.52364E-019 -1.51807E+001  8.38784E+000 -8.51293E+000  4.80351E-002  5.56850E-009  1.00000E-002  2.81459E+000
     47  0.00000E+00  0.00000E+000  1.20885E+006 -2.67183E-014  3.00916E-020  7.43483E-019 -1.51792E+001  8.38711E+000 -8.51370E+000  4.80343E-002  5.56788E-009  1.00000E-002  2.96907E+000
     48  0.00000E+00  0.00000E+000  1.20885E+006 -2.67157E-014  4.15468E-020  7.35489E-019 -1.51775E+001  8.38634E+000 -8.51457E+000  4.80335E-002  5.56722E-009  1.00000E-002  3.11776E+000
     49  0.00000E+00  0.00000E+000  1.20885E+006 -2.67129E-014  5.46029E-020  7.28916E-019 -1.51758E+001  8.38554E+000 -8.51555E+000  4.80327E-002  5.56653E-009  1.00000E-002  3.26027E+000
     50  0.00000E+00  0.00000E+000  1.20885E+006 -2.67101E-014  6.91331E-020  7.24144E-019 -1.51741E+001  8.38469E+000 -8.51665E+000  4.80319E-002  5.56579E-009  1.00000E-002  3.39650E+000
     51  0.00000E+00  0.00000E+000  1.20885E+006 -2.67071E-014  8.49897E-020  7.21548E-019 -1.51722E+001  8.38382E+000 -8.51787E+000  4.80311E-002  5.56502E-009  1.00000E-002  3.52636E+000
     52  0.00000E+00  0.00000E+000  1.20885E+006 -2.67041E-014  1.01983E-019  7.21381E-019 -1.51703E+001  8.38290E+000 -8.51923E+000  4.80304E-002  5.56422E-009  1.00000E-002  3.65015E+000
     53  0.00000E+00  0.00000E+000  1.20885E+006 -2.67009E-014  1.19755E-019  7.23869E-019 -1.51683E+001  8.38196E+000 -8.52072E+000  4.80297E-002  5.56338E-009  1.00000E-002  3.76811E+000
     54  0.00000E+00  0.00000E+000  1.20885E+006 -2.66977E-014  1.37940E-019  7.28931E-019 -1.51663E+001  8.38098E+000 -8.52236E+000  4.80291E-002  5.56250E-009  1.00000E-002  3.88029E+000
     55  0.00000E+00  0.00000E+000  1.20885E+006 -2.66943E-014  1.55941E-019  7.36262E-019 -1.51642E+001  8.37997E+000 -8.52416E+000  4.80286E-002  5.56159E-009  1.00000E-002  3.98665E+000
     56  0.00000E+00  0.00000E+000  1.20885E+006 -2.66909E-014  1.73335E-019  7.45343E-019 -1.51620E+001  8.37894E+000 -8.52611E+000  4.80283E-002  5.56066E-009  1.00000E-002  4.08660E+000
     57  0.00000E+00  0.00000E+000  1.20885E+006 -2.66874E-014  1.90223E-019  7.55331E-019 -1.51597E+001  8.37788E+000 -8.52821E+000  4.80280E-002  5.55970E-009  1.00000E-002  4.17975E+000
     58  0.00000E+00  0.00000E+000  1.20885E+006 -2.66839E-014  2.06073E-019  7.65471E-019 -1.51574E+001  8.37682E+000 -8.53047E+000  4.80280E-002  5.55872E-009  1.00000E-002  4.28365E+000
     59  0.00000E+00  0.00000E+000  1.20885E+006 -2.66803E-014  2.19677E-019  7.74743E-019 -1.51550E+001  8.37574E+000 -8.53289E+000  4.80282E-002  5.55772E-009  1.00000E-002  4.38649E+000
     60  0.00000E+00  0.00000E+000  1.20885E+006 -2.66768E-014  2.30311E-019  7.82068E-019 -1.51526E+001  8.37466E+000 -8.53546E+000  4.80287E-002  5.55671E-009  1.00000E-002  4.48442E+000
     61  0.00000E+00  0.00000E+000  1.20885E+006 -2.66733E-014  2.38001E-019  7.86566E-019 -1.51501E+001  8.37359E+000 -8.53818E+000  4.80295E-002  5.55569E-009  1.00000E-002  4.57702E+000
     62  0.00000E+00  0.00000E+000  1.20885E+006 -2.66697E-014  2.43013E-019  7.87661E-019 -1.51475E+001  8.37253E+000 -8.54104E+000  4.80306E-002  5.55468E-009  1.00000E-002  4.66447E+000
     63  0.00000E+00  0.00000E+000  1.20885E+006 -2.66663E-014  2.46155E-019  7.84805E-019 -1.51449E+001  8.37148E+000 -8.54402E+000  4.80321E-002  5.55367E-009  1.00000E-002  4.74697E+000
     64  0.00000E+00  0.00000E+000  1.20885E+006 -2.66629E-014  2.48291E-019  7.77565E-019 -1.51423E+001  8.37046E+000 -8.54712E+000  4.80339E-002  5.55266E-009  1.00000E-002  4.82350E+000
     65  0.00000E+00  0.00000E+000  1.20885E+006 -2.66596E-014  2.50218E-019  7.65591E-019 -1.51396E+001  8.36947E+000 -8.55033E+000  4.80361E-002  5.55167E-009  9.54691E-003  4.89153E+000
