Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz e NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin Pmax
     29  0.00000E+00  0.00000E+00  5.21767E-03  2.82406E-20  5.89564E-22  1.89993E-22  2.47357E-02 -6.62604E-03 -2.47197E-02  8.90042E-13  1.80000E-01  7.91809E-19 -2.83152E-39 -6.92456E-20  1.29221E-12  1.19888E-04 -1.95560E-22  1.99150E-28 -1.58119E-26  1.09004E-14  5.47894E-07 -1.05362E-24 -1.08651E-29  1.09485E-29  7.47175E-16  1.80000E-01  7.91807E-19 -6.64535E-31 -6.92455E-20  1.29221E-12  5.15020E-20  6.24265E-11
     30  0.00000E+00  0.00000E+00  5.26727E-03  2.90992E-20  5.99423E-22  2.07591E-22  2.49121E-02 -6.68533E-03 -2.49352E-02  1.05029E-12  1.80000E-01  7.91809E-19 -3.33680E-39 -6.92456E-20  1.29221E-12  1.18347E-04 -2.00083E-22 -2.54719E-28 -1.56771E-26  1.07563E-14  5.41794E-07 -1.15866E-24 -8.12871E-30  8.99508E-30  7.37621E-16  1.80000E-01  7.91807E-19 -6.56535E-31 -6.92455E-20  1.29221E-12  4.79059E-20  7.16800E-11
     31  0.00000E+00  0.00000E+00  5.31147E-03  2.98750E-20  6.08130E-22  2.23910E-22  2.50832E-02 -6.73745E-03 -2.51240E-02  1.21054E-12  1.80000E-01  7.91809E-19 -3.80902E-39 -6.92456E-20  1.29221E-12  1.16839E-04 -2.04531E-22 -1.97211E-28 -1.52589E-26  1.06153E-14  5.35570E-07 -1.26845E-24 -5.08268E-30  5.65608E-30  7.27958E-16  1.80000E-01  7.91807E-19 -6.48064E-31 -6.92455E-20  1.29221E-12  4.75939E-20  8.02814E-11
     32  0.00000E+00  0.00000E+00  5.34880E-03  3.04715E-20  6.16072E-22  2.37495E-22  2.52492E-02 -6.78034E-03 -2.52793E-02  1.35534E-12  1.80000E-01  7.91809E-19 -4.18553E-39 -6.92456E-20  1.29221E-12  1.15361E-04 -2.08892E-22 -1.18731E-27 -1.55685E-26  1.04773E-14  5.29231E-07 -1.38264E-24  4.88298E-31  1.86594E-30  7.18197E-16  1.80000E-01  7.91807E-19 -6.39269E-31 -6.92455E-20  1.29221E-12  4.54042E-20  8.89975E-11
     33  0.00000E+00  0.00000E+00  5.37911E-03  3.08272E-20  6.23677E-22  2.52105E-22  2.54086E-02 -6.81461E-03 -2.53985E-02  1.47086E-12  1.80000E-01  7.91809E-19 -4.47848E-39 -6.92456E-20  1.29221E-12  1.13912E-04 -2.13147E-22 -1.44455E-27 -1.46017E-26  1.03422E-14  5.22782E-07 -1.50083E-24  6.44766E-30 -1.62678E-31  7.08346E-16  1.80000E-01  7.91807E-19 -6.30291E-31 -6.92454E-20  1.29221E-12  4.68112E-20  9.92281E-11
     34  0.00000E+00  0.00000E+00  5.40260E-03  3.08876E-20  6.29919E-22  2.65408E-22  2.55621E-02 -6.84000E-03 -2.54825E-02  1.54193E-12  1.80000E-01  7.91809E-19 -4.73915E-39 -6.92456E-20  1.29221E-12  1.12490E-04 -2.17289E-22 -1.27995E-27 -1.29616E-26  1.02096E-14  5.16232E-07 -1.62262E-24  1.29136E-29 -7.04755E-31  6.98415E-16  1.79999E-01  7.91807E-19 -6.21269E-31 -6.92454E-20  1.29221E-12  4.71915E-20  1.10042E-10
     35  0.00000E+00  0.00000E+00  5.41986E-03  3.05965E-20  6.34284E-22  2.74459E-22  2.57128E-02 -6.85685E-03 -2.55371E-02  1.55262E-12  1.80000E-01  7.91809E-19 -4.99612E-39 -6.92456E-20  1.29221E-12  1.11095E-04 -2.21321E-22 -1.63635E-27 -1.03897E-26  1.00796E-14  5.09588E-07 -1.74758E-24  1.82849E-29  2.19969E-31  6.88412E-16  1.79999E-01  7.91806E-19 -6.12341E-31 -6.92454E-20  1.29221E-12  4.72141E-20  1.19811E-10
     36  0.00000E+00  0.00000E+00  5.43175E-03  2.99106E-20  6.37954E-22  2.76702E-22  2.58619E-02 -6.86689E-03 -2.55672E-02  1.48736E-12  1.80000E-01  7.91809E-19 -5.16746E-39 -6.92456E-20  1.29221E-12  1.09726E-04 -2.25258E-22  1.05913E-27 -8.56005E-27  9.95225E-15  5.02855E-07 -1.87525E-24  2.62346E-29  2.40245E-30  6.78347E-16  1.79999E-01  7.91806E-19 -6.03644E-31 -6.92454E-20  1.29221E-12  4.96011E-20  1.25580E-10
     37  0.00000E+00  0.00000E+00  5.44032E-03  2.88979E-20  6.38641E-22  2.84095E-22  2.60076E-02 -6.87332E-03 -2.55797E-02  1.35584E-12  1.80000E-01  7.91809E-19 -5.38434E-39 -6.92456E-20  1.29221E-12  1.08384E-04 -2.29102E-22  1.64331E-27 -6.50156E-27  9.82737E-15  4.96042E-07 -2.00520E-24  3.38455E-29  7.34975E-30  6.68227E-16  1.79999E-01  7.91806E-19 -5.95311E-31 -6.92454E-20  1.29221E-12  5.06085E-20  1.25602E-10
     38  0.00000E+00  0.00000E+00  5.44942E-03  2.78082E-20  6.42487E-22  2.94309E-22  2.61389E-02 -6.88022E-03 -2.55936E-02  1.20286E-12  1.80000E-01  7.91809E-19 -5.70766E-39 -6.92456E-20  1.29221E-12  1.07065E-04 -2.32840E-22  2.58804E-27 -1.13177E-28  9.70484E-15  4.89156E-07 -2.13700E-24  4.14140E-29  1.02201E-29  6.58061E-16  1.79999E-01  7.91806E-19 -5.87475E-31 -6.92454E-20  1.29221E-12  5.09414E-20  1.16451E-10
