Volume averages, fluxes, etc
it t dt Rho Mx My Mz Bx By Bz E SWHRho SWHMx SWHMy SWHMz SWHE Pu3Rho Pu3Mx Pu3My Pu3Mz Pu3E NeuRho NeuMx NeuMy NeuMz NeuE Ne2Rho Ne2Mx Ne2My Ne2Mz Ne2E Ne3Rho Ne3Mx Ne3My Ne3Mz Ne3E Ne4Rho Ne4Mx Ne4My Ne4Mz Ne4E Pmin
     26  0.00000E+00  0.00000E+000  5.35242E-003  2.38651E-020  4.07730E-022 -1.79802E-021  3.63017E-002 -6.62168E-003 -1.15043E-002  1.13687E-013  5.35165E-003  2.38621E-020  4.07715E-022 -1.79799E-021  5.62852E-014  7.66298E-007  2.93500E-024  1.51292E-026 -3.01149E-026  1.09663E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36285E-008 -1.61520E-028 -5.68236E-031  1.79990E-031  5.38737E-018  3.20215E-004 -5.34633E-021 -1.75060E-024  6.09901E-025  4.56339E-013  1.80000E-001  7.91808E-019  9.03203E-021 -6.92455E-020  1.29235E-012  1.87072E-017
     27  0.00000E+00  0.00000E+000  5.41581E-003  2.41805E-020  4.29254E-022 -1.78793E-021  3.67742E-002 -6.70803E-003 -1.16347E-002  1.15081E-013  5.41505E-003  2.41775E-020  4.29237E-022 -1.78790E-021  5.69498E-014  7.67285E-007  3.04783E-024  1.76524E-026 -3.09384E-026  1.09616E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36284E-008 -4.24604E-029 -5.27597E-031  1.93674E-031  5.42323E-018  3.08325E-004 -5.30265E-021 -9.81824E-025  2.80127E-025  4.39589E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  2.03876E-017
     28  0.00000E+00  0.00000E+000  5.47679E-003  2.44863E-020  4.51392E-022 -1.77543E-021  3.72287E-002 -6.79136E-003 -1.17592E-002  1.16422E-013  5.47603E-003  2.44831E-020  4.51376E-022 -1.77540E-021  5.75994E-014  7.68328E-007  3.16158E-024  1.58269E-026 -3.01578E-026  1.09579E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36298E-008  8.53982E-029 -4.49349E-031  1.88062E-031  5.45995E-018  2.96819E-004 -5.24866E-021 -3.49639E-025  1.81417E-025  4.23371E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  2.07052E-017
     29  0.00000E+00  0.00000E+000  5.53601E-003  2.47852E-020  4.74090E-022 -1.76105E-021  3.76684E-002 -6.87641E-003 -1.18791E-002  1.17724E-013  5.53524E-003  2.47819E-020  4.74074E-022 -1.76102E-021  5.82418E-014  7.69866E-007  3.29964E-024  1.57885E-026 -2.91743E-026  1.09585E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36329E-008  2.21967E-028 -4.04707E-031  1.90838E-031  5.49755E-018  2.85656E-004 -5.18241E-021 -4.03222E-025  2.70855E-025  4.07604E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  2.09481E-017
     30  0.00000E+00  0.00000E+000  5.59351E-003  2.50770E-020  4.97176E-022 -1.74511E-021  3.80957E-002 -6.95965E-003 -1.19946E-002  1.18985E-013  5.59273E-003  2.50736E-020  4.97157E-022 -1.74508E-021  5.88738E-014  7.71578E-007  3.41433E-024  1.95555E-026 -2.98478E-026  1.09673E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36376E-008  3.66965E-028 -4.28458E-031  1.77423E-031  5.53602E-018  2.74984E-004 -5.11307E-021 -3.66453E-025  1.95132E-025  3.92513E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  2.13535E-017
     31  0.00000E+00  0.00000E+000  5.64965E-003  2.53632E-020  5.20619E-022 -1.72786E-021  3.85141E-002 -7.04059E-003 -1.21062E-002  1.20214E-013  5.64888E-003  2.53596E-020  5.20597E-022 -1.72783E-021  5.94990E-014  7.73507E-007  3.53961E-024  2.20779E-026 -3.01244E-026  1.09745E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36440E-008  5.21531E-028 -3.64833E-031  1.89514E-031  5.57535E-018  2.64752E-004 -5.03997E-021 -9.94370E-026  4.33042E-026  3.78029E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  2.05375E-017
     32  0.00000E+00  0.00000E+000  5.70462E-003  2.56445E-020  5.44390E-022 -1.70950E-021  3.89245E-002 -7.11749E-003 -1.22144E-002  1.21413E-013  5.70385E-003  2.56408E-020  5.44368E-022 -1.70947E-021  6.01136E-014  7.75373E-007  3.65476E-024  2.22209E-026 -2.85744E-026  1.09829E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36519E-008  6.86043E-028 -2.74767E-031  1.65044E-031  5.61555E-018  2.54949E-004 -4.96430E-021  9.12221E-027  2.93351E-026  3.64141E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.91082E-017
     33  0.00000E+00  0.00000E+000  5.75862E-003  2.59218E-020  5.68502E-022 -1.69012E-021  3.93286E-002 -7.19551E-003 -1.23196E-002  1.22590E-013  5.75784E-003  2.59180E-020  5.68480E-022 -1.69010E-021  6.07236E-014  7.77391E-007  3.79323E-024  2.23295E-026 -2.73180E-026  1.09871E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36616E-008  8.60492E-028 -2.63358E-031  1.38993E-031  5.65665E-018  2.45522E-004 -4.88521E-021  4.33816E-026  1.25399E-025  3.50771E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.79704E-017
     34  0.00000E+00  0.00000E+000  5.81179E-003  2.61957E-020  5.92927E-022 -1.66982E-021  3.97281E-002 -7.27474E-003 -1.24219E-002  1.23753E-013  5.81101E-003  2.61918E-020  5.92903E-022 -1.66979E-021  6.13304E-014  7.79666E-007  3.91607E-024  2.40081E-026 -2.78820E-026  1.10005E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36729E-008  1.04539E-027 -2.64762E-031  1.28635E-031  5.69866E-018  2.36439E-004 -4.80274E-021 -4.06171E-026  1.56941E-025  3.37880E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.71272E-017
     35  0.00000E+00  0.00000E+000  5.86424E-003  2.64666E-020  6.17628E-022 -1.64868E-021  4.01236E-002 -7.35255E-003 -1.25218E-002  1.24904E-013  5.86346E-003  2.64625E-020  6.17603E-022 -1.64865E-021  6.19322E-014  7.81966E-007  4.02168E-024  2.58503E-026 -2.82661E-026  1.10156E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.36859E-008  1.24148E-027 -2.33664E-031  1.20244E-031  5.74158E-018  2.27739E-004 -4.71979E-021 -5.17220E-026  1.64447E-025  3.25522E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.64753E-017
     36  0.00000E+00  0.00000E+000  5.91605E-003  2.67347E-020  6.42577E-022 -1.62679E-021  4.05151E-002 -7.42784E-003 -1.26194E-002  1.26042E-013  5.91527E-003  2.67306E-020  6.42549E-022 -1.62676E-021  6.25277E-014  7.84131E-007  4.12896E-024  2.76454E-026 -2.77791E-026  1.10279E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.37007E-008  1.44943E-027 -2.19894E-031  1.08277E-031  5.78544E-018  2.19387E-004 -4.63594E-021  4.17285E-026  1.47376E-025  3.13648E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.59361E-017
     37  0.00000E+00  0.00000E+000  5.96731E-003  2.70005E-020  6.67754E-022 -1.60418E-021  4.09032E-002 -7.50218E-003 -1.27148E-002  1.27173E-013  5.96652E-003  2.69963E-020  6.67725E-022 -1.60415E-021  6.31185E-014  7.86239E-007  4.24476E-024  2.88635E-026 -2.73481E-026  1.10379E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.37173E-008  1.66941E-027 -2.42330E-031  7.96690E-032  5.83027E-018  2.11369E-004 -4.55152E-021  1.24962E-025  1.01190E-025  3.02241E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.54688E-017
     38  0.00000E+00  0.00000E+000  6.01807E-003  2.72642E-020  6.93191E-022 -1.58087E-021  4.12882E-002 -7.57892E-003 -1.28081E-002  1.28302E-013  6.01728E-003  2.72599E-020  6.93164E-022 -1.58084E-021  6.37101E-014  7.88665E-007  4.37104E-024  2.76922E-026 -2.67856E-026  1.10498E-015  1.80000E-001  7.91809E-019  9.03204E-021 -6.92456E-020  1.29235E-012  7.37357E-008  1.90189E-027 -2.37588E-031  8.32942E-032  5.87610E-018  2.03666E-004 -4.46670E-021  5.85465E-026  9.63772E-026  2.91275E-013  1.80000E-001  7.91807E-019  9.03202E-021 -6.92455E-020  1.29235E-012  1.50526E-017
