Magnetic field data at 1 AU based OMNI data from Jan 19 1985 to Mar 27 2022. B [nT]
0 1985.05 1 0 1
1008
Time B
883638465.75 5.1
885971561.64 5.2
888304657.53 5.2
890637753.42 5.1
892970849.32 5.9
895303945.21 5.5
897637041.10 6.2
899970136.99 5.0
902303232.88 4.7
904636328.77 4.5
906969424.66 5.4
909302520.55 5.1
911635616.44 4.9
913968712.33 5.4
916301808.22 6.5
918634904.11 4.8
920968000.00 5.8
923301095.89 5.5
925634191.78 5.6
927967287.67 4.9
930300383.56 5.2
932633479.45 6.5
934966575.34 7.0
937299671.23 6.7
939632767.12 7.6
941965863.01 7.9
944298958.90 7.5
946632054.79 6.9
948965150.68 7.2
951298246.58 7.1
953631342.47 6.4
955964438.36 6.0
958297534.25 6.3
960630630.14 6.1
962963726.03 6.8
965296821.92 7.3
967629917.81 6.0
969963013.70 6.8
972296109.59 6.1
974629205.48 7.1
976962301.37 6.8
979295397.26 6.6
981628493.15 6.4
983961589.04 6.6
986294684.93 6.2
988627780.82 5.7
990960876.71 5.5
993293972.60 6.2
995627068.49 5.8
997960164.38 6.0
1000293260.27 6.2
1002626356.16 5.6
1004959452.05 5.3
1007292547.95 4.9
1009539232.88 5.0
1011872328.77 5.0
1014205424.66 5.3
1016538520.55 5.3
1018871616.44 5.9
1021204712.33 5.4
1023537808.22 5.3
1025870904.11 5.4
1028204000.00 5.5
1030537095.89 5.0
1032870191.78 5.1
1035203287.67 5.0
1037536383.56 4.9
1039869479.45 4.8
1042202575.34 4.9
1044535671.23 5.0
1046868767.12 4.5
1049201863.01 4.8
1051534958.90 4.3
1053868054.79 4.7
1056201150.68 4.8
1058534246.58 4.9
1060867342.47 4.7
1063200438.36 4.2
1065533534.25 4.6
1067866630.14 4.6
1070199726.03 4.7
1072532821.92 4.8
1074865917.81 4.7
1077199013.70 4.7
1079532109.59 4.3
1081865205.48 5.2
1084198301.37 4.4
1086531397.26 4.4
1088864493.15 4.1
1091197589.04 4.4
1093530684.93 4.5
1095863780.82 4.5
1098196876.71 4.1
1100529972.60 4.5
1102863068.49 4.0
1105196164.38 4.4
1107529260.27 4.2
1109862356.16 4.6
1112195452.05 3.8
1114528547.95 4.0
1116861643.84 3.9
1119194739.73 4.3
1121527835.62 4.3
1123860931.51 4.3
1126194027.40 4.8
1128527123.29 4.4
1130860219.18 4.9
1133193315.07 4.4
1135440000.00 5.0
1137773095.89 5.3
1140106191.78 4.4
1142439287.67 5.1
1144772383.56 5.2
1147105479.45 4.7
1149438575.34 4.8
1151771671.23 4.7
1154104767.12 5.8
1156437863.01 5.3
1158770958.90 5.6
1161104054.79 4.9
1163437150.68 5.4
1165770246.58 5.5
1168103342.47 6.3
1170436438.36 6.2
1172769534.25 7.0
1175101084.02 7.0
1177434179.91 6.2
1179767275.80 6.3
1182100371.69 5.5
1184433467.58 5.4
1186766563.47 4.9
1189099659.36 5.6
1191432755.25 5.3
1193765851.14 5.8
1196098947.03 4.7
1198432042.92 4.8
1200765138.81 4.7
1203098234.70 5.2
1205431330.59 5.1
1207764426.48 4.4
1210097522.37 5.3
1212430618.26 5.0
1214763714.15 4.4
1217096810.04 4.9
1219429905.93 4.4
1221763001.82 4.8
1224096097.72 4.3
1226429193.61 4.3
1228762289.50 4.3
1231095385.39 3.9
1233428481.28 4.0
1235761577.17 3.8
1238094673.06 4.6
1240427768.95 4.2
1242760864.84 4.4
1245093960.73 4.0
1247427056.62 4.5
1249760152.51 4.1
1252093248.40 4.5
1254426344.29 4.5
1256759440.18 4.4
1259092536.07 4.1
1261425631.96 4.4
1263758727.85 4.4
1266091823.74 5.2
1268424919.63 4.3
1270758015.52 4.7
1273091111.41 4.7
1275424207.30 4.8
1277757303.19 4.7
1280090399.08 4.6
1282423494.98 4.6
1284756590.87 4.2
1287089686.76 4.7
1289422782.65 4.9
1291755878.54 4.8
1294088974.43 4.7
1296422070.32 4.3
1298755166.21 4.8
1301001851.14 4.5
1303334947.03 5.0
1305668042.92 4.9
1308001138.81 4.8
1310334234.70 4.9
1312667330.59 5.0
1315000426.48 5.1
1317333522.37 5.0
1319666618.26 5.5
1321999714.15 5.4
1324332810.04 5.3
1326665905.93 5.4
1328999001.82 5.9
1331332097.72 5.3
1333665193.61 5.3
1335998289.50 5.0
1338331385.39 5.0
1340664481.28 4.9
1342997577.17 5.3
1345330673.06 5.6
1347663768.95 6.2
1349996864.84 6.0
1352329960.73 5.8
1354663056.62 6.2
1356996152.51 5.5
1359329248.40 5.7
1361662344.29 6.2
1363995440.18 6.6
1366328536.07 6.4
1368661631.96 6.6
1370994727.85 6.8
1373327823.74 7.1
1375660919.63 6.1
1377994015.52 6.8
1380327111.41 6.0
1382660207.30 7.3
1384993303.19 6.8
1387326399.08 6.1
1389659494.98 6.3
1391992590.87 6.0
1394325686.76 6.4
1396658782.65 7.1
1398991878.54 7.2
1401324974.43 6.9
1403658070.32 7.5
1405991166.21 7.9
1408324262.10 7.6
1410657357.99 6.7
1412990453.88 7.0
1415323549.77 6.5
1417656645.66 5.2
1419989741.55 4.9
1422322837.44 5.6
1424655933.33 5.5
1426902618.26 5.8
1429235714.15 4.8
1431568810.04 6.5
1433901905.93 5.4
1436235001.82 4.9
1438568097.72 5.1
1440901193.61 5.4
1443234289.50 4.5
1445567385.39 4.7
1447900481.28 5.0
1450233577.17 6.2
1452566673.06 5.5
1454899768.95 5.9
1457232864.84 5.1
1459565960.73 5.2
1461899056.62 5.2
1464232152.51 5.1
1466565248.40 4.8
1468898344.29 4.9
1471231440.18 5.6
1473564536.07 5.2
1475897631.96 5.6
1478230727.85 5.6
1480563823.74 5.5
1482896919.63 6.8
1485230015.52 6.4
1487563111.41 5.5
1489896207.30 5.6
1492229303.19 6.1
1494562399.08 5.9
1496895494.98 5.7
1499228590.87 5.1
1501561686.76 4.9
1503894782.65 5.7
1506227878.54 5.3
1508560974.43 5.5
1510894070.32 4.9
1513227166.21 5.1
1515560262.10 5.4
1517893357.99 5.9
1520226453.88 4.8
1522559549.77 5.7
1524892645.66 5.4
1527225741.55 5.2
1529558837.44 4.4
1531891933.33 4.4
1534225029.22 4.8
1536558125.11 4.9
1538891221.00 4.5
1541224316.89 4.1
1543557412.78 4.7
1545890508.67 4.2
1548223604.56 4.8
1550556700.45 4.6
1552803385.39 4.9
1555136481.28 4.9
1557469577.17 5.5
1559802673.06 4.7
1562135768.95 4.0
1564468864.84 3.9
1566801960.73 4.0
1569135056.62 3.9
1571468152.51 3.6
1573801248.40 4.1
1576134344.29 4.0
1578467440.18 4.1
1580800536.07 3.6
1583133631.96 3.5
1585466727.85 3.8
1587799823.74 4.2
1590132919.63 3.8
1592466015.52 4.4
1594799111.41 4.2
1597132207.30 3.7
1599465303.19 4.1
1601798399.08 4.4
1604131494.98 3.7
1606464590.87 4.2
1608797686.76 4.1
1611130782.65 4.0
1613463878.54 4.2
1615796974.43 4.3
1618130070.32 4.3
1620463166.21 4.4
1622796262.10 4.5
1625129357.99 4.4
1627462453.88 4.1
1629795549.77 4.6
1632128645.66 4.1
1634461741.55 4.2
1636794837.44 4.4
1639127933.33 4.2
1641461029.22 4.4
1643794125.11 5.2
1646127221.00 4.0
1648460316.89 4.3
1650793412.78 4.8
1653126508.67 4.6
1655459604.56 5.1
1657792700.45 5.1
1660125796.35 5.8
1662458892.24 4.5
1664791988.13 4.7
1667125084.02 4.9
1669458179.91 5.2
1671791275.80 4.7
1674124371.69 4.6
1676457467.58 4.8
1678704152.51 5.3
1681037248.40 4.8
1683370344.29 5.0
1685703440.18 5.3
1688036536.07 5.7
1690369631.96 5.9
1692702727.85 5.4
1695035823.74 5.1
1697368919.63 5.7
1699702015.52 6.6
1702035111.41 6.2
1704368207.30 6.6
1706701303.19 6.7
1709034399.08 7.0
1711367494.98 5.3
1713700590.87 6.1
1716033686.76 6.6
1718366782.65 7.9
1720699878.54 7.3
1723032974.43 6.5
1725366070.32 6.8
1727699166.21 5.7
1730032262.10 6.0
1732365357.99 6.3
1734698453.88 6.8
1737031549.77 5.7
1739364645.66 6.0
1741697741.55 6.2
1744030837.44 6.6
1746363933.33 6.4
1748697029.22 7.6
1751030125.11 7.6
1753363221.00 7.2
1755696316.89 8.6
1758029412.78 8.9
1760362508.67 6.4
1762695604.56 7.7
1765028700.45 7.6
1767361796.35 7.4
1769694892.24 7.7
1772027988.13 6.8
1774361084.02 7.1
1776694179.91 7.4
1779027275.80 7.8
1781360371.69 8.2
1783693467.58 8.0
1786026563.47 7.9
1788359659.36 8.1
1790692755.25 9.1
1793025851.14 8.0
1795358947.03 7.8
1797692042.92 6.4
1800025138.81 6.3
1802358234.70 7.7
1804604919.63 7.9
1806938015.52 7.4
1809271111.41 7.8
1811604207.30 7.3
1813937303.19 8.0
1816270399.08 7.2
1818603494.98 8.2
1820936590.87 7.0
1823269686.76 7.3
1825602782.65 6.7
1827935878.54 6.3
1830268974.43 6.3
1832602070.32 6.7
1834935166.21 7.0
1837268262.10 8.2
1839601357.99 7.1
1841934453.88 5.5
1844267549.77 6.0
1846600645.66 6.0
1848933741.55 6.8
1851266837.44 7.7
1853599933.33 7.2
1855933029.22 7.4
1858266125.11 7.6
1860599221.00 8.6
1862932316.89 7.3
1865265412.78 7.0
1867598508.67 6.9
1869931604.56 7.0
1872264700.45 7.0
1874597796.35 7.5
1876930892.24 6.6
1879263988.13 7.4
1881597084.02 7.4
1883930179.91 7.3
1886263275.80 7.3
1888596371.69 7.0
1890929467.58 6.7
1893262563.47 5.9
1895595659.36 5.7
1897928755.25 5.8
1900261851.14 6.6
1902594947.03 7.1
1904928042.92 7.7
1907261138.81 7.2
1909594234.70 7.3
1911927330.59 6.8
1914260426.48 8.1
1916593522.37 7.2
1918926618.26 6.4
1921259714.15 7.5
1923592810.04 5.9
1925925905.93 7.0
1928259001.82 6.5
1930505686.76 7.5
1932838782.65 6.8
1935171878.54 6.2
1937504974.43 6.6
1939838070.32 6.8
1942171166.21 5.8
1944504262.10 6.8
1946837357.99 5.9
1949170453.88 6.3
1951503549.77 5.0
1953836645.66 5.0
1956169741.55 5.4
1958502837.44 5.3
1960835933.33 4.9
1963169029.22 5.7
1965502125.11 4.6
1967835221.00 5.3
1970168316.89 5.6
1972501412.78 5.3
1974834508.67 5.4
1977167604.56 5.2
1979500700.45 5.4
1981833796.35 5.3
1984166892.24 5.1
1986499988.13 5.1
1988833084.02 5.0
1991166179.91 5.3
1993499275.80 4.3
1995832371.69 5.0
1998165467.58 5.1
2000498563.47 5.2
2002831659.36 5.0
2005164755.25 5.6
2007497851.14 4.8
2009830947.03 6.4
2012164042.92 5.6
2014497138.81 5.1
2016830234.70 5.4
2019163330.59 5.4
2021496426.48 5.7
2023829522.37 6.0
2026162618.26 5.9
2028495714.15 5.9
2030828810.04 6.6
2033161905.93 6.0
2035495001.82 5.8
2037828097.72 6.4
2040161193.61 6.9
2042494289.50 5.9
2044827385.39 5.9
2047160481.28 6.0
2049493577.17 5.1
2051826673.06 5.7
2054159768.95 5.8
2056492864.84 6.5
2058739549.77 6.2
2061072645.66 7.4
2063405741.55 7.9
2065738837.44 7.2
2068071933.33 6.8
2070405029.22 6.2
2072738125.11 5.6
2075071221.00 6.9
2077404316.89 6.6
2079737412.78 6.3
2082070508.67 6.5
2084403604.56 7.2
2086736700.45 6.9
2089069796.35 5.9
2091402892.24 7.2
2093735988.13 6.8
2096069084.02 6.4
2098402179.91 8.4
2100735275.80 7.7
2103068371.69 7.9
2105401467.58 8.0
2107734563.47 7.3
2110067659.36 6.7
2112400755.25 6.5
2114733851.14 7.3
2117066947.03 8.0
2119400042.92 10.2
2121733138.81 7.8
2124066234.70 9.7
2126399330.59 10.6
2128732426.48 9.9
2131065522.37 9.7
2133398618.26 9.9
2135731714.15 11.3
2138064810.04 9.7
2140397905.93 10.7
2142731001.82 9.6
2145064097.72 8.6
2147397193.61 11.7
2149730289.50 8.3
2152063385.39 8.6
2154396481.28 8.9
2156729577.17 8.0
2159062673.06 6.5
2161395768.95 7.5
2163728864.84 6.7
2166061960.73 6.8
2168395056.62 6.7
2170728152.51 6.4
2173061248.40 7.5
2175394344.29 6.6
2177727440.18 6.7
2180060536.07 8.6
2182393631.96 7.2
2184640316.89 8.2
2186973412.78 7.9
2189306508.67 9.2
2191639604.56 8.1
2193972700.45 9.0
2196305796.35 11.9
2198638892.24 9.4
2200971988.13 9.0
2203305084.02 8.7
2205638179.91 6.6
2207971275.80 6.1
2210304371.69 7.8
2212637467.58 7.3
2214970563.47 9.2
2217303659.36 10.3
2219636755.25 8.2
2221969851.14 6.1
2224302947.03 8.0
2226636042.92 7.0
2228969138.81 7.1
2231302234.70 7.4
2233635330.59 6.6
2235968426.48 6.9
2238301522.37 7.4
2240634618.26 7.9
2242967714.15 6.7
2245300810.04 8.1
2247633905.93 7.2
2249967001.82 6.9
2252300097.72 7.7
2254633193.61 8.2
2256966289.50 7.0
2259299385.39 6.9
2261632481.28 6.4
2263965577.17 7.9
2266298673.06 7.9
2268631768.95 6.3
2270964864.84 5.6
2273297960.73 6.2
2275631056.62 5.0
2277964152.51 5.3
2280297248.40 6.3
2282630344.29 5.4
2284963440.18 5.8
2287296536.07 5.2
2289629631.96 5.8
2291962727.85 7.3
2294295823.74 5.7
2296628919.63 5.7
2298962015.52 5.4
2301295111.41 5.2
2303628207.30 5.0
2305961303.19 5.3
2308294399.08 5.7
2310541084.02 5.6
2312874179.91 6.0
2315207275.80 7.5
2317540371.69 5.2
2319873467.58 5.8
2322206563.47 5.5
2324539659.36 6.4
2326872755.25 6.0
2329205851.14 5.6
2331538947.03 5.9
2333872042.92 5.9
2336205138.81 5.5
2338538234.70 5.6
2340871330.59 6.1
2343204426.48 5.9
2345537522.37 6.1
2347870618.26 6.9
